date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Andhra Pradesh,Krishna,520011,16,219
01-03-2025,Andhra Pradesh,Krishna,521321,24,158
01-05-2025,Andhra Pradesh,Krishna,521137,92,725
01-05-2025,Andhra Pradesh,Krishna,521121,48,310
01-03-2025,Andhra Pradesh,Krishna,521212,25,246
01-03-2025,Andhra Pradesh,Krishna,521344,15,221
01-03-2025,Andhra Pradesh,Krishna,521121,25,257
01-03-2025,Andhra Pradesh,Krishna,521324,38,405
01-03-2025,Andhra Pradesh,Krishna,521343,12,116
01-03-2025,Andhra Pradesh,Krishna,521101,44,350
01-03-2025,Andhra Pradesh,Krishna,521170,17,144
01-03-2025,Andhra Pradesh,Krishna,521301,82,820
01-03-2025,Andhra Pradesh,Krishna,521366,39,484
01-06-2025,Andhra Pradesh,Krishna,521324,81,472
01-07-2025,Andhra Pradesh,Krishna,521301,101,847
01-09-2025,Andhra Pradesh,Krishna,520007,3,52
01-09-2025,Andhra Pradesh,Krishna,520012,1,22
01-09-2025,Andhra Pradesh,Krishna,521002,2,11
01-09-2025,Andhra Pradesh,Krishna,521110,0,2
01-09-2025,Andhra Pradesh,Krishna,521111,0,8
01-09-2025,Andhra Pradesh,Krishna,521131,0,12
01-09-2025,Andhra Pradesh,Krishna,521148,0,1
01-09-2025,Andhra Pradesh,Krishna,521163,0,9
01-09-2025,Andhra Pradesh,Krishna,521180,2,6
01-09-2025,Andhra Pradesh,Krishna,521181,1,5
01-09-2025,Andhra Pradesh,Krishna,521182,2,5
01-09-2025,Andhra Pradesh,Krishna,521183,1,4
01-09-2025,Andhra Pradesh,Krishna,521190,0,12
01-09-2025,Andhra Pradesh,Krishna,521201,1,10
01-09-2025,Andhra Pradesh,Krishna,521211,1,10
01-09-2025,Andhra Pradesh,Krishna,521227,0,5
01-09-2025,Andhra Pradesh,Krishna,521228,0,11
01-09-2025,Andhra Pradesh,Krishna,521324,1,19
01-09-2025,Andhra Pradesh,Krishna,521366,1,14
01-09-2025,Andhra Pradesh,Krishna,521369,0,5
02-09-2025,Andhra Pradesh,Krishna,520001,1,29
02-09-2025,Andhra Pradesh,Krishna,521106,0,4
02-09-2025,Andhra Pradesh,Krishna,521121,1,14
02-09-2025,Andhra Pradesh,Krishna,521130,0,7
02-09-2025,Andhra Pradesh,Krishna,521150,0,5
02-09-2025,Andhra Pradesh,Krishna,521151,3,16
02-09-2025,Andhra Pradesh,Krishna,521153,0,1
02-09-2025,Andhra Pradesh,Krishna,521201,1,16
02-09-2025,Andhra Pradesh,Krishna,521214,0,5
02-09-2025,Andhra Pradesh,Krishna,521247,1,5
02-09-2025,Andhra Pradesh,Krishna,521263,0,4
02-09-2025,Andhra Pradesh,Krishna,521301,4,29
02-09-2025,Andhra Pradesh,Krishna,521323,0,3
02-09-2025,Andhra Pradesh,Krishna,521333,1,2
02-09-2025,Andhra Pradesh,Krishna,521401,0,3
03-09-2025,Andhra Pradesh,Krishna,520008,0,5
03-09-2025,Andhra Pradesh,Krishna,520011,0,6
03-09-2025,Andhra Pradesh,Krishna,521104,0,2
03-09-2025,Andhra Pradesh,Krishna,521138,0,1
03-09-2025,Andhra Pradesh,Krishna,521151,0,8
03-09-2025,Andhra Pradesh,Krishna,521157,1,1
03-09-2025,Andhra Pradesh,Krishna,521175,2,19
03-09-2025,Andhra Pradesh,Krishna,521182,0,7
03-09-2025,Andhra Pradesh,Krishna,521185,2,28
03-09-2025,Andhra Pradesh,Krishna,521207,1,3
03-09-2025,Andhra Pradesh,Krishna,521211,0,8
03-09-2025,Andhra Pradesh,Krishna,521229,0,6
03-09-2025,Andhra Pradesh,Krishna,521250,0,6
03-09-2025,Andhra Pradesh,Krishna,521261,0,3
03-09-2025,Andhra Pradesh,Krishna,521286,0,13
03-09-2025,Andhra Pradesh,Krishna,521343,0,5
03-09-2025,Andhra Pradesh,Krishna,521402,0,10
03-09-2025,Andhra Pradesh,Krishna,521403,0,6
03-09-2025,Andhra Pradesh,Krishna,521457,1,1
04-09-2025,Andhra Pradesh,Krishna,521105,4,19
04-09-2025,Andhra Pradesh,Krishna,521106,0,7
04-09-2025,Andhra Pradesh,Krishna,521108,2,6
04-09-2025,Andhra Pradesh,Krishna,521109,3,4
04-09-2025,Andhra Pradesh,Krishna,521110,0,4
04-09-2025,Andhra Pradesh,Krishna,521136,0,2
04-09-2025,Andhra Pradesh,Krishna,521139,0,9
04-09-2025,Andhra Pradesh,Krishna,521148,0,2
04-09-2025,Andhra Pradesh,Krishna,521163,0,6
04-09-2025,Andhra Pradesh,Krishna,521175,0,9
04-09-2025,Andhra Pradesh,Krishna,521185,0,16
04-09-2025,Andhra Pradesh,Krishna,521215,0,6
04-09-2025,Andhra Pradesh,Krishna,521246,0,1
04-09-2025,Andhra Pradesh,Krishna,521247,0,2
04-09-2025,Andhra Pradesh,Krishna,521261,0,1
04-09-2025,Andhra Pradesh,Krishna,521286,0,9
04-09-2025,Andhra Pradesh,Krishna,521312,0,1
06-09-2025,Andhra Pradesh,Krishna,520011,2,10
06-09-2025,Andhra Pradesh,Krishna,521002,0,9
06-09-2025,Andhra Pradesh,Krishna,521107,0,1
06-09-2025,Andhra Pradesh,Krishna,521108,0,8
06-09-2025,Andhra Pradesh,Krishna,521126,0,11
06-09-2025,Andhra Pradesh,Krishna,521139,2,9
06-09-2025,Andhra Pradesh,Krishna,521150,0,1
06-09-2025,Andhra Pradesh,Krishna,521156,0,4
06-09-2025,Andhra Pradesh,Krishna,521182,0,6
06-09-2025,Andhra Pradesh,Krishna,521183,0,6
06-09-2025,Andhra Pradesh,Krishna,521201,3,20
06-09-2025,Andhra Pradesh,Krishna,521225,0,5
06-09-2025,Andhra Pradesh,Krishna,521228,0,3
06-09-2025,Andhra Pradesh,Krishna,521245,2,3
06-09-2025,Andhra Pradesh,Krishna,521261,0,1
06-09-2025,Andhra Pradesh,Krishna,521263,0,4
06-09-2025,Andhra Pradesh,Krishna,521344,0,7
06-09-2025,Andhra Pradesh,Krishna,521356,0,5
06-09-2025,Andhra Pradesh,Krishna,521456,2,5
05-09-2025,Andhra Pradesh,Krishna,520002,0,1
05-09-2025,Andhra Pradesh,Krishna,521101,0,3
05-09-2025,Andhra Pradesh,Krishna,521111,0,2
05-09-2025,Andhra Pradesh,Krishna,521207,1,6
05-09-2025,Andhra Pradesh,Krishna,521212,1,2
05-09-2025,Andhra Pradesh,Krishna,521229,1,11
05-09-2025,Andhra Pradesh,Krishna,521245,0,1
05-09-2025,Andhra Pradesh,Krishna,521286,1,0
05-09-2025,Andhra Pradesh,Krishna,521324,0,2
05-09-2025,Andhra Pradesh,Krishna,521328,0,6
05-09-2025,Andhra Pradesh,Krishna,521456,0,3
07-09-2025,Andhra Pradesh,Krishna,521126,0,1
07-09-2025,Andhra Pradesh,Krishna,521151,2,1
07-09-2025,Andhra Pradesh,Krishna,521156,0,2
07-09-2025,Andhra Pradesh,Krishna,521164,0,1
07-09-2025,Andhra Pradesh,Krishna,521165,0,2
07-09-2025,Andhra Pradesh,Krishna,521212,0,2
07-09-2025,Andhra Pradesh,Krishna,521228,0,2
07-09-2025,Andhra Pradesh,Krishna,521235,0,1
07-09-2025,Andhra Pradesh,Krishna,521263,0,1
07-09-2025,Andhra Pradesh,Krishna,521301,0,2
07-09-2025,Andhra Pradesh,Krishna,521401,0,1
07-09-2025,Andhra Pradesh,Krishna,521402,0,2
08-09-2025,Andhra Pradesh,Krishna,520004,0,10
08-09-2025,Andhra Pradesh,Krishna,520010,2,22
08-09-2025,Andhra Pradesh,Krishna,520013,0,19
08-09-2025,Andhra Pradesh,Krishna,521104,3,5
08-09-2025,Andhra Pradesh,Krishna,521105,1,13
08-09-2025,Andhra Pradesh,Krishna,521108,0,13
08-09-2025,Andhra Pradesh,Krishna,521109,0,2
08-09-2025,Andhra Pradesh,Krishna,521120,0,14
08-09-2025,Andhra Pradesh,Krishna,521132,0,3
08-09-2025,Andhra Pradesh,Krishna,521137,0,22
08-09-2025,Andhra Pradesh,Krishna,521138,0,2
08-09-2025,Andhra Pradesh,Krishna,521153,0,1
08-09-2025,Andhra Pradesh,Krishna,521163,0,4
08-09-2025,Andhra Pradesh,Krishna,521170,0,2
08-09-2025,Andhra Pradesh,Krishna,521211,0,17
08-09-2025,Andhra Pradesh,Krishna,521213,0,14
08-09-2025,Andhra Pradesh,Krishna,521225,0,4
08-09-2025,Andhra Pradesh,Krishna,521245,0,6
08-09-2025,Andhra Pradesh,Krishna,521325,0,10
08-09-2025,Andhra Pradesh,Krishna,521329,1,7
08-09-2025,Andhra Pradesh,Krishna,521332,1,2
08-09-2025,Andhra Pradesh,Krishna,521333,1,13
08-09-2025,Andhra Pradesh,Krishna,521356,0,7
08-09-2025,Andhra Pradesh,Krishna,521403,0,14
09-09-2025,Andhra Pradesh,Krishna,520001,2,41
09-09-2025,Andhra Pradesh,Krishna,520002,1,2
09-09-2025,Andhra Pradesh,Krishna,520003,1,24
09-09-2025,Andhra Pradesh,Krishna,520004,2,13
09-09-2025,Andhra Pradesh,Krishna,520015,3,21
09-09-2025,Andhra Pradesh,Krishna,521109,0,4
09-09-2025,Andhra Pradesh,Krishna,521110,0,7
09-09-2025,Andhra Pradesh,Krishna,521132,0,2
09-09-2025,Andhra Pradesh,Krishna,521136,2,4
09-09-2025,Andhra Pradesh,Krishna,521170,0,4
09-09-2025,Andhra Pradesh,Krishna,521190,0,6
09-09-2025,Andhra Pradesh,Krishna,521214,0,9
09-09-2025,Andhra Pradesh,Krishna,521215,0,17
09-09-2025,Andhra Pradesh,Krishna,521227,3,16
09-09-2025,Andhra Pradesh,Krishna,521241,0,4
09-09-2025,Andhra Pradesh,Krishna,521245,0,6
09-09-2025,Andhra Pradesh,Krishna,521263,0,2
09-09-2025,Andhra Pradesh,Krishna,521311,0,1
09-09-2025,Andhra Pradesh,Krishna,521323,0,3
09-09-2025,Andhra Pradesh,Krishna,521325,0,9
09-09-2025,Andhra Pradesh,Krishna,521327,1,3
09-09-2025,Andhra Pradesh,Krishna,521328,1,11
09-09-2025,Andhra Pradesh,Krishna,521329,0,5
09-09-2025,Andhra Pradesh,Krishna,521331,0,1
09-09-2025,Andhra Pradesh,Krishna,521340,3,6
09-09-2025,Andhra Pradesh,Krishna,521345,0,8
09-09-2025,Andhra Pradesh,Krishna,521366,0,8
09-09-2025,Andhra Pradesh,Krishna,521456,2,9
10-09-2025,Andhra Pradesh,Krishna,520008,1,4
10-09-2025,Andhra Pradesh,Krishna,521102,0,1
10-09-2025,Andhra Pradesh,Krishna,521110,0,8
10-09-2025,Andhra Pradesh,Krishna,521111,0,11
10-09-2025,Andhra Pradesh,Krishna,521126,0,8
10-09-2025,Andhra Pradesh,Krishna,521136,0,6
10-09-2025,Andhra Pradesh,Krishna,521151,6,20
10-09-2025,Andhra Pradesh,Krishna,521156,0,3
10-09-2025,Andhra Pradesh,Krishna,521180,0,16
10-09-2025,Andhra Pradesh,Krishna,521190,0,6
10-09-2025,Andhra Pradesh,Krishna,521201,0,21
10-09-2025,Andhra Pradesh,Krishna,521225,0,8
10-09-2025,Andhra Pradesh,Krishna,521227,1,6
10-09-2025,Andhra Pradesh,Krishna,521228,0,6
