date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Andhra Pradesh,Krishna,521228,104,80
01-03-2025,Andhra Pradesh,Krishna,520015,528,323
01-03-2025,Andhra Pradesh,Krishna,521340,117,43
01-03-2025,Andhra Pradesh,Krishna,520002,50,53
01-03-2025,Andhra Pradesh,Krishna,521312,96,97
01-03-2025,Andhra Pradesh,Krishna,521190,175,95
01-03-2025,Andhra Pradesh,Krishna,521151,200,153
01-03-2025,Andhra Pradesh,Krishna,534281,42,12
01-03-2025,Andhra Pradesh,Krishna,521132,128,55
01-03-2025,Andhra Pradesh,Krishna,521125,114,52
01-03-2025,Andhra Pradesh,Krishna,521108,210,133
01-03-2025,Andhra Pradesh,Krishna,521390,38,10
01-03-2025,Andhra Pradesh,Krishna,520012,443,316
01-03-2025,Andhra Pradesh,Krishna,521126,152,87
01-03-2025,Andhra Pradesh,Krishna,521178,177,88
01-03-2025,Andhra Pradesh,Krishna,521211,168,100
01-03-2025,Andhra Pradesh,Krishna,521333,201,83
01-03-2025,Andhra Pradesh,Krishna,521328,174,54
01-03-2025,Andhra Pradesh,Krishna,520010,185,232
01-03-2025,Andhra Pradesh,Krishna,520008,70,91
01-03-2025,Andhra Pradesh,Krishna,521002,362,138
01-03-2025,Andhra Pradesh,Krishna,521130,40,16
01-03-2025,Andhra Pradesh,Krishna,521109,122,71
01-03-2025,Andhra Pradesh,Krishna,521164,79,32
01-03-2025,Andhra Pradesh,Krishna,521148,70,20
01-04-2025,Andhra Pradesh,Krishna,521108,398,110
01-04-2025,Andhra Pradesh,Krishna,521403,208,85
01-04-2025,Andhra Pradesh,Krishna,520011,332,123
01-05-2025,Andhra Pradesh,Krishna,534281,54,19
01-05-2025,Andhra Pradesh,Krishna,520015,615,246
01-05-2025,Andhra Pradesh,Krishna,521366,310,123
01-05-2025,Andhra Pradesh,Krishna,521247,48,28
01-04-2025,Andhra Pradesh,Krishna,521163,107,47
01-04-2025,Andhra Pradesh,Krishna,521135,38,26
01-04-2025,Andhra Pradesh,Krishna,521369,167,52
01-04-2025,Andhra Pradesh,Krishna,521344,356,130
01-03-2025,Andhra Pradesh,Krishna,521356,47,29
01-04-2025,Andhra Pradesh,Krishna,521101,288,111
01-04-2025,Andhra Pradesh,Krishna,521180,475,117
01-04-2025,Andhra Pradesh,Krishna,521261,29,15
01-04-2025,Andhra Pradesh,Krishna,521190,471,140
01-04-2025,Andhra Pradesh,Krishna,521457,82,16
01-04-2025,Andhra Pradesh,Krishna,521263,98,41
01-04-2025,Andhra Pradesh,Krishna,521164,91,24
01-04-2025,Andhra Pradesh,Krishna,520012,917,285
01-04-2025,Andhra Pradesh,Krishna,521120,236,93
01-04-2025,Andhra Pradesh,Krishna,521178,287,71
01-04-2025,Andhra Pradesh,Krishna,521157,226,79
01-04-2025,Andhra Pradesh,Krishna,521149,97,25
01-04-2025,Andhra Pradesh,Krishna,521136,78,43
01-05-2025,Andhra Pradesh,Krishna,521402,141,69
01-05-2025,Andhra Pradesh,Krishna,521321,95,64
01-04-2025,Andhra Pradesh,Krishna,521106,121,61
01-04-2025,Andhra Pradesh,Krishna,521131,139,52
01-04-2025,Andhra Pradesh,Krishna,520001,1156,383
01-04-2025,Andhra Pradesh,Krishna,521170,108,43
01-04-2025,Andhra Pradesh,Krishna,521181,240,70
01-04-2025,Andhra Pradesh,Krishna,521148,29,19
01-05-2025,Andhra Pradesh,Krishna,520012,476,226
01-05-2025,Andhra Pradesh,Krishna,521327,51,37
01-06-2025,Andhra Pradesh,Krishna,521245,82,30
01-06-2025,Andhra Pradesh,Krishna,521105,241,162
01-06-2025,Andhra Pradesh,Krishna,521148,39,20
01-05-2025,Andhra Pradesh,Krishna,521106,91,42
01-05-2025,Andhra Pradesh,Krishna,521165,271,120
01-05-2025,Andhra Pradesh,Krishna,521130,44,27
01-05-2025,Andhra Pradesh,Krishna,521323,65,32
01-06-2025,Andhra Pradesh,Krishna,521263,83,44
01-06-2025,Andhra Pradesh,Krishna,521331,50,38
01-06-2025,Andhra Pradesh,Krishna,521286,206,86
01-06-2025,Andhra Pradesh,Krishna,521175,405,135
01-05-2025,Andhra Pradesh,Krishna,520001,783,407
01-05-2025,Andhra Pradesh,Krishna,521329,160,41
01-05-2025,Andhra Pradesh,Krishna,521214,258,82
01-05-2025,Andhra Pradesh,Krishna,521340,213,53
01-05-2025,Andhra Pradesh,Krishna,521229,225,107
01-06-2025,Andhra Pradesh,Krishna,521130,40,28
01-06-2025,Andhra Pradesh,Krishna,521185,721,200
01-06-2025,Andhra Pradesh,Krishna,521214,232,99
01-06-2025,Andhra Pradesh,Krishna,521150,47,48
19-10-2025,Andhra Pradesh,Krishna,521120,5,4
19-10-2025,Andhra Pradesh,Krishna,521138,1,3
19-10-2025,Andhra Pradesh,Krishna,521158,0,1
19-10-2025,Andhra Pradesh,Krishna,521230,14,16
19-10-2025,Andhra Pradesh,Krishna,521326,0,1
19-10-2025,Andhra Pradesh,Krishna,521327,1,0
19-10-2025,Andhra Pradesh,Krishna,521456,7,7
19-10-2025,Andhra Pradesh,Krishna,534281,1,0
20-10-2025,Andhra Pradesh,Krishna,520004,1,0
20-10-2025,Andhra Pradesh,Krishna,520012,1,1
20-10-2025,Andhra Pradesh,Krishna,521131,1,0
20-10-2025,Andhra Pradesh,Krishna,521136,1,0
20-10-2025,Andhra Pradesh,Krishna,521333,1,0
27-10-2025,Andhra Pradesh,Krishna,521153,6,0
26-10-2025,Andhra Pradesh,Krishna,521105,19,9
26-10-2025,Andhra Pradesh,Krishna,521109,6,1
26-10-2025,Andhra Pradesh,Krishna,521153,2,0
26-10-2025,Andhra Pradesh,Krishna,521226,1,0
26-10-2025,Andhra Pradesh,Krishna,521250,6,3
26-10-2025,Andhra Pradesh,Krishna,521261,0,1
26-10-2025,Andhra Pradesh,Krishna,521326,4,1
26-10-2025,Andhra Pradesh,Krishna,521328,9,4
26-10-2025,Andhra Pradesh,Krishna,521331,3,1
26-10-2025,Andhra Pradesh,Krishna,521332,4,1
26-10-2025,Andhra Pradesh,Krishna,521390,0,1
26-10-2025,Andhra Pradesh,Krishna,521401,19,15
29-10-2025,Andhra Pradesh,Krishna,521125,6,0
31-10-2025,Andhra Pradesh,Krishna,534281,2,2
02-11-2025,Andhra Pradesh,Krishna,521102,4,5
02-11-2025,Andhra Pradesh,Krishna,521120,5,6
02-11-2025,Andhra Pradesh,Krishna,521133,0,3
02-11-2025,Andhra Pradesh,Krishna,521153,0,1
02-11-2025,Andhra Pradesh,Krishna,521157,7,1
02-11-2025,Andhra Pradesh,Krishna,521170,0,2
02-11-2025,Andhra Pradesh,Krishna,521175,10,4
02-11-2025,Andhra Pradesh,Krishna,521211,7,6
02-11-2025,Andhra Pradesh,Krishna,521213,4,3
02-11-2025,Andhra Pradesh,Krishna,521245,0,1
02-11-2025,Andhra Pradesh,Krishna,521247,2,0
02-11-2025,Andhra Pradesh,Krishna,521325,2,3
02-11-2025,Andhra Pradesh,Krishna,521327,1,1
02-11-2025,Andhra Pradesh,Krishna,521333,4,2
02-11-2025,Andhra Pradesh,Krishna,521344,3,3
02-11-2025,Andhra Pradesh,Krishna,521390,0,1
02-11-2025,Andhra Pradesh,Krishna,521402,4,1
08-11-2025,Andhra Pradesh,Krishna,534281,1,0
09-11-2025,Andhra Pradesh,Krishna,521183,1,0
09-11-2025,Andhra Pradesh,Krishna,521301,6,0
09-11-2025,Andhra Pradesh,Krishna,521325,1,0
09-11-2025,Andhra Pradesh,Krishna,521329,0,1
09-11-2025,Andhra Pradesh,Krishna,521331,1,0
09-11-2025,Andhra Pradesh,Krishna,521332,1,0
09-11-2025,Andhra Pradesh,Krishna,521403,1,0
15-11-2025,Andhra Pradesh,Krishna,521153,1,0
16-11-2025,Andhra Pradesh,Krishna,521106,0,1
16-11-2025,Andhra Pradesh,Krishna,521131,1,1
16-11-2025,Andhra Pradesh,Krishna,521163,1,1
16-11-2025,Andhra Pradesh,Krishna,521165,1,1
16-11-2025,Andhra Pradesh,Krishna,521225,1,1
16-11-2025,Andhra Pradesh,Krishna,521340,1,0
16-11-2025,Andhra Pradesh,Krishna,534281,1,1
18-12-2025,Andhra Pradesh,Krishna,521226,1,0
02-12-2025,Andhra Pradesh,Krishna,521153,0,3
02-12-2025,Andhra Pradesh,Krishna,521158,1,1
07-12-2025,Andhra Pradesh,Krishna,521165,2,3
07-12-2025,Andhra Pradesh,Krishna,521182,2,1
07-12-2025,Andhra Pradesh,Krishna,521183,1,0
07-12-2025,Andhra Pradesh,Krishna,521246,1,0
07-12-2025,Andhra Pradesh,Krishna,521256,0,1
07-12-2025,Andhra Pradesh,Krishna,521401,2,2
05-12-2025,Andhra Pradesh,Krishna,521246,0,1
03-01-2026,Andhra Pradesh,Krishna,520012,3,2
03-01-2026,Andhra Pradesh,Krishna,521001,3,5
03-01-2026,Andhra Pradesh,Krishna,521105,2,2
03-01-2026,Andhra Pradesh,Krishna,521107,0,1
03-01-2026,Andhra Pradesh,Krishna,521131,0,1
03-01-2026,Andhra Pradesh,Krishna,521132,0,2
03-01-2026,Andhra Pradesh,Krishna,521149,0,1
03-01-2026,Andhra Pradesh,Krishna,521150,0,1
03-01-2026,Andhra Pradesh,Krishna,521175,0,1
03-01-2026,Andhra Pradesh,Krishna,521212,0,1
03-01-2026,Andhra Pradesh,Krishna,521226,1,0
03-01-2026,Andhra Pradesh,Krishna,521246,1,0
03-01-2026,Andhra Pradesh,Krishna,521286,1,3
03-01-2026,Andhra Pradesh,Krishna,521323,1,0
14-12-2025,Andhra Pradesh,Krishna,520003,2,2
14-12-2025,Andhra Pradesh,Krishna,521110,0,1
14-12-2025,Andhra Pradesh,Krishna,521130,1,0
14-12-2025,Andhra Pradesh,Krishna,521158,0,1
14-12-2025,Andhra Pradesh,Krishna,521227,1,4
14-12-2025,Andhra Pradesh,Krishna,521345,0,1
28-12-2025,Andhra Pradesh,Krishna,520003,7,0
28-12-2025,Andhra Pradesh,Krishna,520012,3,2
28-12-2025,Andhra Pradesh,Krishna,521001,2,5
28-12-2025,Andhra Pradesh,Krishna,521101,1,4
28-12-2025,Andhra Pradesh,Krishna,521105,1,1
28-12-2025,Andhra Pradesh,Krishna,521109,1,0
28-12-2025,Andhra Pradesh,Krishna,521130,1,0
28-12-2025,Andhra Pradesh,Krishna,521131,1,1
28-12-2025,Andhra Pradesh,Krishna,521136,1,1
28-12-2025,Andhra Pradesh,Krishna,521137,1,1
28-12-2025,Andhra Pradesh,Krishna,521151,2,4
28-12-2025,Andhra Pradesh,Krishna,521164,0,1
28-12-2025,Andhra Pradesh,Krishna,521185,6,5
28-12-2025,Andhra Pradesh,Krishna,521190,0,2
28-12-2025,Andhra Pradesh,Krishna,521215,2,2
28-12-2025,Andhra Pradesh,Krishna,521328,2,0
28-12-2025,Andhra Pradesh,Krishna,521333,1,0
28-12-2025,Andhra Pradesh,Krishna,521401,0,1
28-12-2025,Andhra Pradesh,Krishna,521402,1,0
28-12-2025,Andhra Pradesh,Krishna,521403,2,0
02-01-2026,Andhra Pradesh,Krishna,521137,1,9
02-01-2026,Andhra Pradesh,Krishna,521139,3,1
02-01-2026,Andhra Pradesh,Krishna,521163,0,2
02-01-2026,Andhra Pradesh,Krishna,521181,2,5
02-01-2026,Andhra Pradesh,Krishna,521215,4,2
02-01-2026,Andhra Pradesh,Krishna,521225,7,3
02-01-2026,Andhra Pradesh,Krishna,521235,6,7
02-01-2026,Andhra Pradesh,Krishna,521245,3,0
02-01-2026,Andhra Pradesh,Krishna,521256,3,2
02-01-2026,Andhra Pradesh,Krishna,521261,0,1
02-01-2026,Andhra Pradesh,Krishna,521301,11,11
02-01-2026,Andhra Pradesh,Krishna,521328,1,1
02-01-2026,Andhra Pradesh,Krishna,521332,0,1
02-01-2026,Andhra Pradesh,Krishna,521369,0,1
02-01-2026,Andhra Pradesh,Krishna,520007,8,8
02-01-2026,Andhra Pradesh,Krishna,520012,9,18
02-01-2026,Andhra Pradesh,Krishna,521108,9,4
02-01-2026,Andhra Pradesh,Krishna,521125,3,5
25-12-2025,Andhra Pradesh,Krishna,521106,0,1
25-12-2025,Andhra Pradesh,Krishna,521125,5,2
25-12-2025,Andhra Pradesh,Krishna,521126,4,7
25-12-2025,Andhra Pradesh,Krishna,521150,3,3
25-12-2025,Andhra Pradesh,Krishna,521183,2,5
25-12-2025,Andhra Pradesh,Krishna,521215,8,13
25-12-2025,Andhra Pradesh,Krishna,521247,1,0
25-12-2025,Andhra Pradesh,Krishna,521256,1,2
25-12-2025,Andhra Pradesh,Krishna,521263,0,2
25-12-2025,Andhra Pradesh,Krishna,521331,3,5
25-12-2025,Andhra Pradesh,Krishna,521356,5,1
27-12-2025,Andhra Pradesh,Krishna,520008,4,1
27-12-2025,Andhra Pradesh,Krishna,521101,6,6
