date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Andhra Pradesh,Krishna,521215,3,2,0
01-09-2025,Andhra Pradesh,Krishna,521235,3,0,0
01-09-2025,Andhra Pradesh,Krishna,521263,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521301,3,1,0
01-09-2025,Andhra Pradesh,Krishna,521332,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521333,2,0,0
01-09-2025,Andhra Pradesh,Krishna,521457,1,0,0
01-09-2025,Andhra Pradesh,Krishna,520001,5,1,0
01-09-2025,Andhra Pradesh,Krishna,520010,3,0,0
01-09-2025,Andhra Pradesh,Krishna,520015,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521120,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521137,2,0,0
01-09-2025,Andhra Pradesh,Krishna,521138,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521139,2,2,0
01-09-2025,Andhra Pradesh,Krishna,521151,1,0,0
01-09-2025,Andhra Pradesh,Krishna,521178,2,0,0
03-09-2025,Andhra Pradesh,Krishna,520001,3,0,0
03-09-2025,Andhra Pradesh,Krishna,520002,2,0,0
03-09-2025,Andhra Pradesh,Krishna,520007,2,0,0
03-09-2025,Andhra Pradesh,Krishna,521120,1,0,0
03-09-2025,Andhra Pradesh,Krishna,521131,0,0,1
03-09-2025,Andhra Pradesh,Krishna,521158,1,0,0
03-09-2025,Andhra Pradesh,Krishna,521227,3,0,0
03-09-2025,Andhra Pradesh,Krishna,521235,2,0,0
03-09-2025,Andhra Pradesh,Krishna,521247,1,0,0
03-09-2025,Andhra Pradesh,Krishna,521260,1,0,0
03-09-2025,Andhra Pradesh,Krishna,521328,3,0,0
03-09-2025,Andhra Pradesh,Krishna,521333,1,0,0
03-09-2025,Andhra Pradesh,Krishna,521366,4,0,0
02-09-2025,Andhra Pradesh,Krishna,521235,3,1,0
02-09-2025,Andhra Pradesh,Krishna,521329,1,0,0
02-09-2025,Andhra Pradesh,Krishna,521344,1,0,0
02-09-2025,Andhra Pradesh,Krishna,521345,1,0,0
