date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Andhra Pradesh,Srikakulam,532458,366,101
01-03-2025,Andhra Pradesh,Srikakulam,532213,491,131
01-03-2025,Andhra Pradesh,Srikakulam,532211,175,72
01-03-2025,Andhra Pradesh,Srikakulam,532216,155,42
01-03-2025,Andhra Pradesh,Srikakulam,532430,317,86
01-03-2025,Andhra Pradesh,Srikakulam,535128,23,13
01-03-2025,Andhra Pradesh,Srikakulam,532401,351,112
01-03-2025,Andhra Pradesh,Srikakulam,532123,247,165
01-03-2025,Andhra Pradesh,Srikakulam,532312,1151,275
01-03-2025,Andhra Pradesh,Srikakulam,532404,197,51
01-03-2025,Andhra Pradesh,Srikakulam,532428,123,36
01-03-2025,Andhra Pradesh,Srikakulam,532403,883,160
01-03-2025,Andhra Pradesh,Srikakulam,532429,317,61
01-04-2025,Andhra Pradesh,Srikakulam,532222,729,223
01-04-2025,Andhra Pradesh,Srikakulam,532211,417,107
01-04-2025,Andhra Pradesh,Srikakulam,532484,280,84
01-05-2025,Andhra Pradesh,Srikakulam,532220,148,80
01-05-2025,Andhra Pradesh,Srikakulam,532290,157,129
01-04-2025,Andhra Pradesh,Srikakulam,532401,465,128
01-04-2025,Andhra Pradesh,Srikakulam,532408,393,71
01-04-2025,Andhra Pradesh,Srikakulam,532291,236,81
01-04-2025,Andhra Pradesh,Srikakulam,532001,1013,283
01-04-2025,Andhra Pradesh,Srikakulam,532440,945,220
01-04-2025,Andhra Pradesh,Srikakulam,532428,100,35
01-04-2025,Andhra Pradesh,Srikakulam,532426,196,30
01-04-2025,Andhra Pradesh,Srikakulam,532168,1017,320
01-04-2025,Andhra Pradesh,Srikakulam,532460,787,214
01-04-2025,Andhra Pradesh,Srikakulam,532290,336,113
01-05-2025,Andhra Pradesh,Srikakulam,532221,294,132
01-05-2025,Andhra Pradesh,Srikakulam,532408,141,62
01-05-2025,Andhra Pradesh,Srikakulam,532211,229,68
01-05-2025,Andhra Pradesh,Srikakulam,532215,113,42
01-05-2025,Andhra Pradesh,Srikakulam,532459,331,152
01-04-2025,Andhra Pradesh,Srikakulam,532213,359,118
01-04-2025,Andhra Pradesh,Srikakulam,532190,223,45
01-05-2025,Andhra Pradesh,Srikakulam,532461,111,30
01-05-2025,Andhra Pradesh,Srikakulam,532426,126,64
01-06-2025,Andhra Pradesh,Srikakulam,532406,130,58
01-06-2025,Andhra Pradesh,Srikakulam,532443,203,121
01-06-2025,Andhra Pradesh,Srikakulam,532148,192,85
01-06-2025,Andhra Pradesh,Srikakulam,532219,59,33
01-05-2025,Andhra Pradesh,Srikakulam,532264,145,99
01-05-2025,Andhra Pradesh,Srikakulam,532457,157,71
01-05-2025,Andhra Pradesh,Srikakulam,532291,79,67
01-06-2025,Andhra Pradesh,Srikakulam,535557,56,38
01-06-2025,Andhra Pradesh,Srikakulam,532402,120,110
01-05-2025,Andhra Pradesh,Srikakulam,532242,191,104
01-05-2025,Andhra Pradesh,Srikakulam,535125,26,11
