date,state,district,pincode,demo_age_5_17,demo_age_17_
01-04-2025,Andhra Pradesh,Srikakulam,532213,59,282
01-04-2025,Andhra Pradesh,Srikakulam,532168,102,531
01-04-2025,Andhra Pradesh,Srikakulam,532460,105,368
01-04-2025,Andhra Pradesh,Srikakulam,532440,66,584
01-05-2025,Andhra Pradesh,Srikakulam,532168,112,583
01-05-2025,Andhra Pradesh,Srikakulam,532221,98,457
01-05-2025,Andhra Pradesh,Srikakulam,532459,111,369
01-06-2025,Andhra Pradesh,Srikakulam,532211,74,344
01-03-2025,Andhra Pradesh,Srikakulam,532123,80,516
01-03-2025,Andhra Pradesh,Srikakulam,532213,81,468
01-03-2025,Andhra Pradesh,Srikakulam,532216,29,146
01-03-2025,Andhra Pradesh,Srikakulam,532312,165,1131
01-03-2025,Andhra Pradesh,Srikakulam,532401,80,566
01-03-2025,Andhra Pradesh,Srikakulam,532404,30,382
01-03-2025,Andhra Pradesh,Srikakulam,532428,20,196
01-03-2025,Andhra Pradesh,Srikakulam,532430,64,449
01-03-2025,Andhra Pradesh,Srikakulam,532429,32,233
01-03-2025,Andhra Pradesh,Srikakulam,532211,68,398
01-03-2025,Andhra Pradesh,Srikakulam,532458,51,493
01-03-2025,Andhra Pradesh,Srikakulam,532403,110,837
01-06-2025,Andhra Pradesh,Srikakulam,532443,66,171
01-07-2025,Andhra Pradesh,Srikakulam,532312,177,926
01-09-2025,Andhra Pradesh,Srikakulam,532127,2,12
01-09-2025,Andhra Pradesh,Srikakulam,532212,1,5
01-09-2025,Andhra Pradesh,Srikakulam,532214,5,11
01-09-2025,Andhra Pradesh,Srikakulam,532220,1,8
01-09-2025,Andhra Pradesh,Srikakulam,532222,4,15
01-09-2025,Andhra Pradesh,Srikakulam,532284,0,10
01-09-2025,Andhra Pradesh,Srikakulam,532312,3,38
01-09-2025,Andhra Pradesh,Srikakulam,532402,1,5
01-09-2025,Andhra Pradesh,Srikakulam,532403,1,17
01-09-2025,Andhra Pradesh,Srikakulam,532409,3,8
01-09-2025,Andhra Pradesh,Srikakulam,532430,2,8
01-09-2025,Andhra Pradesh,Srikakulam,532440,1,13
01-09-2025,Andhra Pradesh,Srikakulam,532443,1,4
01-09-2025,Andhra Pradesh,Srikakulam,532456,2,4
01-09-2025,Andhra Pradesh,Srikakulam,532459,1,10
01-09-2025,Andhra Pradesh,Srikakulam,532462,0,5
02-09-2025,Andhra Pradesh,Srikakulam,532212,0,5
02-09-2025,Andhra Pradesh,Srikakulam,532216,1,7
02-09-2025,Andhra Pradesh,Srikakulam,532222,2,18
02-09-2025,Andhra Pradesh,Srikakulam,532264,0,26
02-09-2025,Andhra Pradesh,Srikakulam,532291,1,9
02-09-2025,Andhra Pradesh,Srikakulam,532312,2,39
02-09-2025,Andhra Pradesh,Srikakulam,532322,2,13
02-09-2025,Andhra Pradesh,Srikakulam,532401,2,6
02-09-2025,Andhra Pradesh,Srikakulam,532402,1,4
02-09-2025,Andhra Pradesh,Srikakulam,532409,1,8
02-09-2025,Andhra Pradesh,Srikakulam,532427,1,11
02-09-2025,Andhra Pradesh,Srikakulam,532428,0,2
02-09-2025,Andhra Pradesh,Srikakulam,532429,2,8
02-09-2025,Andhra Pradesh,Srikakulam,532443,1,2
02-09-2025,Andhra Pradesh,Srikakulam,532445,0,6
02-09-2025,Andhra Pradesh,Srikakulam,532456,1,6
03-09-2025,Andhra Pradesh,Srikakulam,532122,0,6
03-09-2025,Andhra Pradesh,Srikakulam,532214,0,6
03-09-2025,Andhra Pradesh,Srikakulam,532322,0,11
03-09-2025,Andhra Pradesh,Srikakulam,532407,7,25
03-09-2025,Andhra Pradesh,Srikakulam,532408,0,15
03-09-2025,Andhra Pradesh,Srikakulam,532410,1,9
03-09-2025,Andhra Pradesh,Srikakulam,532428,0,6
03-09-2025,Andhra Pradesh,Srikakulam,532459,0,8
03-09-2025,Andhra Pradesh,Srikakulam,535128,0,1
04-09-2025,Andhra Pradesh,Srikakulam,532127,2,21
04-09-2025,Andhra Pradesh,Srikakulam,532201,4,24
04-09-2025,Andhra Pradesh,Srikakulam,532213,3,9
04-09-2025,Andhra Pradesh,Srikakulam,532216,3,5
04-09-2025,Andhra Pradesh,Srikakulam,532221,3,13
04-09-2025,Andhra Pradesh,Srikakulam,532243,0,13
04-09-2025,Andhra Pradesh,Srikakulam,532263,1,1
04-09-2025,Andhra Pradesh,Srikakulam,532292,4,6
04-09-2025,Andhra Pradesh,Srikakulam,532402,0,7
