date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Andhra Pradesh,Srikakulam,532123,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532213,3,1,0
01-09-2025,Andhra Pradesh,Srikakulam,532219,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532221,2,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532242,2,1,0
01-09-2025,Andhra Pradesh,Srikakulam,532407,4,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532427,1,0,0
01-09-2025,Andhra Pradesh,Srikakulam,532432,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532168,3,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532185,3,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532195,2,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532221,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532403,2,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532404,2,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532427,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532429,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532440,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532458,1,0,0
03-09-2025,Andhra Pradesh,Srikakulam,532460,2,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532005,1,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532220,2,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532263,1,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532284,3,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532290,1,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532458,1,0,0
02-09-2025,Andhra Pradesh,Srikakulam,532459,1,0,0
07-09-2025,Andhra Pradesh,Srikakulam,532218,1,0,0
07-09-2025,Andhra Pradesh,Srikakulam,532322,1,0,0
07-09-2025,Andhra Pradesh,Srikakulam,532432,1,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532168,1,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532185,1,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532190,1,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532312,3,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532404,2,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532425,1,0,0
04-09-2025,Andhra Pradesh,Srikakulam,532427,1,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532168,5,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532211,1,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532218,7,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532284,1,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532290,1,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532401,2,0,0
06-09-2025,Andhra Pradesh,Srikakulam,532440,2,0,0
