date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Andhra Pradesh,Visakhapatnam,531087,121,41
01-03-2025,Andhra Pradesh,Visakhapatnam,531001,350,164
01-03-2025,Andhra Pradesh,Visakhapatnam,531084,225,69
01-03-2025,Andhra Pradesh,Visakhapatnam,530012,134,209
01-03-2025,Andhra Pradesh,Visakhapatnam,531173,430,406
01-03-2025,Andhra Pradesh,Visakhapatnam,531077,602,366
01-03-2025,Andhra Pradesh,Visakhapatnam,531021,148,57
01-04-2025,Andhra Pradesh,Visakhapatnam,531025,537,91
01-04-2025,Andhra Pradesh,Visakhapatnam,535273,80,136
01-04-2025,Andhra Pradesh,Visakhapatnam,531081,842,123
01-04-2025,Andhra Pradesh,Visakhapatnam,531149,1041,532
01-04-2025,Andhra Pradesh,Visakhapatnam,531011,506,100
01-04-2025,Andhra Pradesh,Visakhapatnam,531083,423,97
01-04-2025,Andhra Pradesh,Visakhapatnam,531030,471,274
01-03-2025,Andhra Pradesh,Visakhapatnam,530028,51,61
01-03-2025,Andhra Pradesh,Visakhapatnam,531030,403,287
01-03-2025,Andhra Pradesh,Visakhapatnam,531111,420,189
01-03-2025,Andhra Pradesh,Visakhapatnam,530032,17,33
01-03-2025,Andhra Pradesh,Visakhapatnam,531033,113,85
01-03-2025,Andhra Pradesh,Visakhapatnam,531060,145,34
01-03-2025,Andhra Pradesh,Visakhapatnam,531075,123,57
01-03-2025,Andhra Pradesh,Visakhapatnam,535250,29,6
01-03-2025,Andhra Pradesh,Visakhapatnam,531114,505,112
01-03-2025,Andhra Pradesh,Visakhapatnam,530029,64,51
01-03-2025,Andhra Pradesh,Visakhapatnam,530052,90,44
01-03-2025,Andhra Pradesh,Visakhapatnam,530005,47,60
01-03-2025,Andhra Pradesh,Visakhapatnam,530001,286,369
01-03-2025,Andhra Pradesh,Visakhapatnam,531105,78,214
01-04-2025,Andhra Pradesh,Visakhapatnam,530018,321,156
01-04-2025,Andhra Pradesh,Visakhapatnam,530004,466,223
01-04-2025,Andhra Pradesh,Visakhapatnam,530017,906,417
01-04-2025,Andhra Pradesh,Visakhapatnam,531032,360,68
01-04-2025,Andhra Pradesh,Visakhapatnam,530022,211,84
01-04-2025,Andhra Pradesh,Visakhapatnam,530052,236,52
01-04-2025,Andhra Pradesh,Visakhapatnam,531021,361,56
01-04-2025,Andhra Pradesh,Visakhapatnam,530032,11,27
01-04-2025,Andhra Pradesh,Visakhapatnam,531114,609,105
01-04-2025,Andhra Pradesh,Visakhapatnam,530005,122,58
01-04-2025,Andhra Pradesh,Visakhapatnam,531219,540,107
01-04-2025,Andhra Pradesh,Visakhapatnam,531024,474,271
01-04-2025,Andhra Pradesh,Visakhapatnam,531085,445,97
01-04-2025,Andhra Pradesh,Visakhapatnam,530041,313,146
01-05-2025,Andhra Pradesh,Visakhapatnam,530005,109,50
01-05-2025,Andhra Pradesh,Visakhapatnam,531034,254,76
01-05-2025,Andhra Pradesh,Visakhapatnam,530012,256,185
01-05-2025,Andhra Pradesh,Visakhapatnam,530026,632,346
01-05-2025,Andhra Pradesh,Visakhapatnam,531020,219,49
01-05-2025,Andhra Pradesh,Visakhapatnam,531023,159,42
01-05-2025,Andhra Pradesh,Visakhapatnam,531001,600,139
01-05-2025,Andhra Pradesh,Visakhapatnam,530046,488,277
01-05-2025,Andhra Pradesh,Visakhapatnam,531022,124,54
01-05-2025,Andhra Pradesh,Visakhapatnam,530032,22,32
01-06-2025,Andhra Pradesh,Visakhapatnam,530029,75,52
01-06-2025,Andhra Pradesh,Visakhapatnam,531084,296,119
01-05-2025,Andhra Pradesh,Visakhapatnam,530028,91,53
01-05-2025,Andhra Pradesh,Visakhapatnam,530020,67,72
01-05-2025,Andhra Pradesh,Visakhapatnam,531082,91,21
01-06-2025,Andhra Pradesh,Visakhapatnam,531151,1134,731
01-05-2025,Andhra Pradesh,Visakhapatnam,535145,298,328
01-05-2025,Andhra Pradesh,Visakhapatnam,531025,319,114
01-05-2025,Andhra Pradesh,Visakhapatnam,530002,205,147
01-06-2025,Andhra Pradesh,Visakhapatnam,530031,97,28
01-06-2025,Andhra Pradesh,Visakhapatnam,531087,260,88
29-10-2025,Andhra Pradesh,Visakhapatnam,531111,8,5
01-11-2025,Andhra Pradesh,Visakhapatnam,535250,1,0
02-11-2025,Andhra Pradesh,Visakhapatnam,531002,0,2
02-11-2025,Andhra Pradesh,Visakhapatnam,531022,3,0
02-11-2025,Andhra Pradesh,Visakhapatnam,531025,4,3
02-11-2025,Andhra Pradesh,Visakhapatnam,531127,2,3
26-10-2025,Andhra Pradesh,Visakhapatnam,530031,2,2
26-10-2025,Andhra Pradesh,Visakhapatnam,531105,16,3
26-10-2025,Andhra Pradesh,Visakhapatnam,531133,16,17
26-10-2025,Andhra Pradesh,Visakhapatnam,535005,3,1
26-10-2025,Andhra Pradesh,Visakhapatnam,535250,2,0
26-10-2025,Andhra Pradesh,Visakhapatnam,535273,1,1
25-10-2025,Andhra Pradesh,Visakhapatnam,530049,3,0
19-10-2025,Andhra Pradesh,Visakhapatnam,530043,3,0
19-10-2025,Andhra Pradesh,Visakhapatnam,531029,14,63
19-10-2025,Andhra Pradesh,Visakhapatnam,531055,13,9
19-10-2025,Andhra Pradesh,Visakhapatnam,531082,1,2
19-10-2025,Andhra Pradesh,Visakhapatnam,531133,4,4
20-10-2025,Andhra Pradesh,Visakhapatnam,531001,1,0
20-10-2025,Andhra Pradesh,Visakhapatnam,531027,2,0
16-10-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
09-11-2025,Andhra Pradesh,Visakhapatnam,531029,3,7
11-11-2025,Andhra Pradesh,Visakhapatnam,531118,0,1
16-11-2025,Andhra Pradesh,Visakhapatnam,531117,1,0
16-11-2025,Andhra Pradesh,Visakhapatnam,535005,1,0
25-11-2025,Andhra Pradesh,Visakhapatnam,533483,0,1
02-12-2025,Andhra Pradesh,Visakhapatnam,530014,1,0
04-12-2025,Andhra Pradesh,Visakhapatnam,535273,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,530029,0,1
07-12-2025,Andhra Pradesh,Visakhapatnam,531026,2,1
25-12-2025,Andhra Pradesh,Visakhapatnam,530002,7,13
25-12-2025,Andhra Pradesh,Visakhapatnam,530003,1,4
25-12-2025,Andhra Pradesh,Visakhapatnam,530005,14,2
25-12-2025,Andhra Pradesh,Visakhapatnam,530020,2,1
25-12-2025,Andhra Pradesh,Visakhapatnam,531084,8,12
25-12-2025,Andhra Pradesh,Visakhapatnam,531117,16,5
27-12-2025,Andhra Pradesh,Visakhapatnam,530001,8,6
27-12-2025,Andhra Pradesh,Visakhapatnam,530005,3,1
27-12-2025,Andhra Pradesh,Visakhapatnam,530029,5,5
27-12-2025,Andhra Pradesh,Visakhapatnam,530032,4,0
27-12-2025,Andhra Pradesh,Visakhapatnam,530043,0,3
27-12-2025,Andhra Pradesh,Visakhapatnam,530052,4,5
27-12-2025,Andhra Pradesh,Visakhapatnam,531002,0,3
27-12-2025,Andhra Pradesh,Visakhapatnam,531027,4,6
27-12-2025,Andhra Pradesh,Visakhapatnam,531061,5,12
27-12-2025,Andhra Pradesh,Visakhapatnam,531084,3,7
27-12-2025,Andhra Pradesh,Visakhapatnam,531111,5,11
27-12-2025,Andhra Pradesh,Visakhapatnam,531162,19,21
27-12-2025,Andhra Pradesh,Visakhapatnam,535183,1,0
29-12-2025,Andhra Pradesh,Visakhapatnam,530005,1,2
29-12-2025,Andhra Pradesh,Visakhapatnam,530009,2,1
29-12-2025,Andhra Pradesh,Visakhapatnam,530013,4,1
29-12-2025,Andhra Pradesh,Visakhapatnam,530016,13,10
29-12-2025,Andhra Pradesh,Visakhapatnam,530044,6,4
29-12-2025,Andhra Pradesh,Visakhapatnam,530045,3,3
29-12-2025,Andhra Pradesh,Visakhapatnam,530053,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531001,9,6
29-12-2025,Andhra Pradesh,Visakhapatnam,531019,2,3
29-12-2025,Andhra Pradesh,Visakhapatnam,531022,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531023,3,1
29-12-2025,Andhra Pradesh,Visakhapatnam,531040,18,18
29-12-2025,Andhra Pradesh,Visakhapatnam,531105,0,2
29-12-2025,Andhra Pradesh,Visakhapatnam,531111,11,9
29-12-2025,Andhra Pradesh,Visakhapatnam,531151,10,12
28-12-2025,Andhra Pradesh,Visakhapatnam,530007,2,2
28-12-2025,Andhra Pradesh,Visakhapatnam,530026,8,11
28-12-2025,Andhra Pradesh,Visakhapatnam,530027,3,2
28-12-2025,Andhra Pradesh,Visakhapatnam,530028,3,1
28-12-2025,Andhra Pradesh,Visakhapatnam,530051,1,3
