date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Andhra Pradesh,Visakhapatnam,531060,12,124
01-03-2025,Andhra Pradesh,Visakhapatnam,531114,54,691
01-03-2025,Andhra Pradesh,Visakhapatnam,531001,35,403
01-03-2025,Andhra Pradesh,Visakhapatnam,531087,11,149
01-04-2025,Andhra Pradesh,Visakhapatnam,530017,113,757
01-05-2025,Andhra Pradesh,Visakhapatnam,530046,151,823
01-03-2025,Andhra Pradesh,Visakhapatnam,530001,82,703
01-03-2025,Andhra Pradesh,Visakhapatnam,531173,76,696
01-03-2025,Andhra Pradesh,Visakhapatnam,531111,45,679
01-03-2025,Andhra Pradesh,Visakhapatnam,530028,10,113
01-03-2025,Andhra Pradesh,Visakhapatnam,531075,11,257
01-03-2025,Andhra Pradesh,Visakhapatnam,530012,46,410
01-03-2025,Andhra Pradesh,Visakhapatnam,531030,27,494
01-03-2025,Andhra Pradesh,Visakhapatnam,530052,12,151
01-03-2025,Andhra Pradesh,Visakhapatnam,531033,16,289
01-03-2025,Andhra Pradesh,Visakhapatnam,530029,20,137
01-05-2025,Andhra Pradesh,Visakhapatnam,530012,59,374
01-05-2025,Andhra Pradesh,Visakhapatnam,530026,138,903
01-06-2025,Andhra Pradesh,Visakhapatnam,530044,122,596
01-03-2025,Andhra Pradesh,Visakhapatnam,531077,55,899
01-03-2025,Andhra Pradesh,Visakhapatnam,531084,23,277
01-09-2025,Andhra Pradesh,Visakhapatnam,530012,0,8
01-09-2025,Andhra Pradesh,Visakhapatnam,530017,3,23
01-09-2025,Andhra Pradesh,Visakhapatnam,530031,0,1
01-09-2025,Andhra Pradesh,Visakhapatnam,530044,2,21
01-09-2025,Andhra Pradesh,Visakhapatnam,530048,2,18
01-09-2025,Andhra Pradesh,Visakhapatnam,531001,1,14
01-09-2025,Andhra Pradesh,Visakhapatnam,531020,0,2
01-09-2025,Andhra Pradesh,Visakhapatnam,531025,0,10
01-09-2025,Andhra Pradesh,Visakhapatnam,531029,4,10
01-09-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
01-09-2025,Andhra Pradesh,Visakhapatnam,531151,0,4
01-09-2025,Andhra Pradesh,Visakhapatnam,535145,1,6
02-09-2025,Andhra Pradesh,Visakhapatnam,530003,0,2
02-09-2025,Andhra Pradesh,Visakhapatnam,530007,0,6
02-09-2025,Andhra Pradesh,Visakhapatnam,530012,3,10
02-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,18
02-09-2025,Andhra Pradesh,Visakhapatnam,531011,3,7
02-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,4
02-09-2025,Andhra Pradesh,Visakhapatnam,531026,1,7
02-09-2025,Andhra Pradesh,Visakhapatnam,531028,0,7
02-09-2025,Andhra Pradesh,Visakhapatnam,531036,1,12
02-09-2025,Andhra Pradesh,Visakhapatnam,531085,1,3
02-09-2025,Andhra Pradesh,Visakhapatnam,531087,0,6
02-09-2025,Andhra Pradesh,Visakhapatnam,531105,0,2
02-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,6
02-09-2025,Andhra Pradesh,Visakhapatnam,531116,2,19
02-09-2025,Andhra Pradesh,Visakhapatnam,531117,1,1
02-09-2025,Andhra Pradesh,Visakhapatnam,531133,4,4
02-09-2025,Andhra Pradesh,Visakhapatnam,531149,2,4
02-09-2025,Andhra Pradesh,Visakhapatnam,531151,4,4
02-09-2025,Andhra Pradesh,Visakhapatnam,531163,3,15
04-09-2025,Andhra Pradesh,Visakhapatnam,530017,1,22
04-09-2025,Andhra Pradesh,Visakhapatnam,530028,0,7
04-09-2025,Andhra Pradesh,Visakhapatnam,531026,3,13
04-09-2025,Andhra Pradesh,Visakhapatnam,531030,0,3
04-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,4
04-09-2025,Andhra Pradesh,Visakhapatnam,531085,0,4
04-09-2025,Andhra Pradesh,Visakhapatnam,531151,5,3
04-09-2025,Andhra Pradesh,Visakhapatnam,531162,4,15
04-09-2025,Andhra Pradesh,Visakhapatnam,531163,2,21
04-09-2025,Andhra Pradesh,Visakhapatnam,535145,0,5
03-09-2025,Andhra Pradesh,Visakhapatnam,530005,0,4
03-09-2025,Andhra Pradesh,Visakhapatnam,530009,0,5
03-09-2025,Andhra Pradesh,Visakhapatnam,530013,0,15
03-09-2025,Andhra Pradesh,Visakhapatnam,530017,2,26
03-09-2025,Andhra Pradesh,Visakhapatnam,530020,1,5
03-09-2025,Andhra Pradesh,Visakhapatnam,530022,2,5
03-09-2025,Andhra Pradesh,Visakhapatnam,530048,1,17
03-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,10
03-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,1
03-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
03-09-2025,Andhra Pradesh,Visakhapatnam,531030,0,12
03-09-2025,Andhra Pradesh,Visakhapatnam,531031,1,4
03-09-2025,Andhra Pradesh,Visakhapatnam,531034,0,11
03-09-2025,Andhra Pradesh,Visakhapatnam,531035,0,6
03-09-2025,Andhra Pradesh,Visakhapatnam,531082,1,4
03-09-2025,Andhra Pradesh,Visakhapatnam,531085,0,5
03-09-2025,Andhra Pradesh,Visakhapatnam,531114,1,11
05-09-2025,Andhra Pradesh,Visakhapatnam,530003,1,1
05-09-2025,Andhra Pradesh,Visakhapatnam,530005,1,1
05-09-2025,Andhra Pradesh,Visakhapatnam,530016,4,11
05-09-2025,Andhra Pradesh,Visakhapatnam,530017,0,13
05-09-2025,Andhra Pradesh,Visakhapatnam,530018,0,1
05-09-2025,Andhra Pradesh,Visakhapatnam,530020,0,2
05-09-2025,Andhra Pradesh,Visakhapatnam,530024,0,2
05-09-2025,Andhra Pradesh,Visakhapatnam,530029,0,3
05-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
05-09-2025,Andhra Pradesh,Visakhapatnam,530043,1,3
05-09-2025,Andhra Pradesh,Visakhapatnam,530048,2,16
05-09-2025,Andhra Pradesh,Visakhapatnam,531029,5,16
05-09-2025,Andhra Pradesh,Visakhapatnam,531035,0,2
05-09-2025,Andhra Pradesh,Visakhapatnam,531060,0,2
05-09-2025,Andhra Pradesh,Visakhapatnam,531085,0,1
05-09-2025,Andhra Pradesh,Visakhapatnam,531087,1,2
05-09-2025,Andhra Pradesh,Visakhapatnam,531133,3,3
05-09-2025,Andhra Pradesh,Visakhapatnam,531163,5,15
06-09-2025,Andhra Pradesh,Visakhapatnam,530009,0,5
06-09-2025,Andhra Pradesh,Visakhapatnam,530046,7,24
06-09-2025,Andhra Pradesh,Visakhapatnam,531020,0,3
06-09-2025,Andhra Pradesh,Visakhapatnam,531021,0,3
06-09-2025,Andhra Pradesh,Visakhapatnam,531024,2,6
06-09-2025,Andhra Pradesh,Visakhapatnam,531025,1,12
06-09-2025,Andhra Pradesh,Visakhapatnam,531026,1,3
06-09-2025,Andhra Pradesh,Visakhapatnam,531028,0,3
06-09-2025,Andhra Pradesh,Visakhapatnam,531061,1,9
06-09-2025,Andhra Pradesh,Visakhapatnam,531081,1,11
06-09-2025,Andhra Pradesh,Visakhapatnam,531082,0,2
06-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,5
06-09-2025,Andhra Pradesh,Visakhapatnam,531115,1,10
06-09-2025,Andhra Pradesh,Visakhapatnam,531162,0,9
08-09-2025,Andhra Pradesh,Visakhapatnam,530009,1,5
08-09-2025,Andhra Pradesh,Visakhapatnam,530016,1,38
08-09-2025,Andhra Pradesh,Visakhapatnam,530017,1,28
08-09-2025,Andhra Pradesh,Visakhapatnam,530022,1,9
08-09-2025,Andhra Pradesh,Visakhapatnam,530043,1,3
08-09-2025,Andhra Pradesh,Visakhapatnam,530046,2,25
08-09-2025,Andhra Pradesh,Visakhapatnam,531001,4,12
08-09-2025,Andhra Pradesh,Visakhapatnam,531021,0,4
08-09-2025,Andhra Pradesh,Visakhapatnam,531087,0,1
08-09-2025,Andhra Pradesh,Visakhapatnam,535005,0,3
07-09-2025,Andhra Pradesh,Visakhapatnam,530018,1,1
07-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
07-09-2025,Andhra Pradesh,Visakhapatnam,530041,0,3
07-09-2025,Andhra Pradesh,Visakhapatnam,530046,4,7
07-09-2025,Andhra Pradesh,Visakhapatnam,531001,0,1
07-09-2025,Andhra Pradesh,Visakhapatnam,531011,1,0
07-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,1
07-09-2025,Andhra Pradesh,Visakhapatnam,531114,1,2
07-09-2025,Andhra Pradesh,Visakhapatnam,531116,0,3
07-09-2025,Andhra Pradesh,Visakhapatnam,531162,1,3
07-09-2025,Andhra Pradesh,Visakhapatnam,531173,0,5
09-09-2025,Andhra Pradesh,Visakhapatnam,530012,3,12
09-09-2025,Andhra Pradesh,Visakhapatnam,530017,5,30
09-09-2025,Andhra Pradesh,Visakhapatnam,530020,0,11
09-09-2025,Andhra Pradesh,Visakhapatnam,530044,5,16
09-09-2025,Andhra Pradesh,Visakhapatnam,530045,1,10
09-09-2025,Andhra Pradesh,Visakhapatnam,530046,3,19
09-09-2025,Andhra Pradesh,Visakhapatnam,530047,0,13
09-09-2025,Andhra Pradesh,Visakhapatnam,530051,1,14
09-09-2025,Andhra Pradesh,Visakhapatnam,531019,1,1
09-09-2025,Andhra Pradesh,Visakhapatnam,531032,1,7
09-09-2025,Andhra Pradesh,Visakhapatnam,531082,0,1
09-09-2025,Andhra Pradesh,Visakhapatnam,531085,1,8
09-09-2025,Andhra Pradesh,Visakhapatnam,531111,8,13
09-09-2025,Andhra Pradesh,Visakhapatnam,531113,1,11
09-09-2025,Andhra Pradesh,Visakhapatnam,531116,2,15
09-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,3
09-09-2025,Andhra Pradesh,Visakhapatnam,531162,3,20
09-09-2025,Andhra Pradesh,Visakhapatnam,531163,2,15
09-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
10-09-2025,Andhra Pradesh,Visakhapatnam,530003,0,4
10-09-2025,Andhra Pradesh,Visakhapatnam,530011,2,19
10-09-2025,Andhra Pradesh,Visakhapatnam,530018,1,5
10-09-2025,Andhra Pradesh,Visakhapatnam,530022,1,8
10-09-2025,Andhra Pradesh,Visakhapatnam,530028,0,7
10-09-2025,Andhra Pradesh,Visakhapatnam,530031,0,4
10-09-2025,Andhra Pradesh,Visakhapatnam,530040,3,31
10-09-2025,Andhra Pradesh,Visakhapatnam,530052,0,3
10-09-2025,Andhra Pradesh,Visakhapatnam,531011,1,5
10-09-2025,Andhra Pradesh,Visakhapatnam,531024,1,9
10-09-2025,Andhra Pradesh,Visakhapatnam,531025,0,3
10-09-2025,Andhra Pradesh,Visakhapatnam,531028,1,7
10-09-2025,Andhra Pradesh,Visakhapatnam,531029,6,14
10-09-2025,Andhra Pradesh,Visakhapatnam,531113,0,6
10-09-2025,Andhra Pradesh,Visakhapatnam,531117,0,2
10-09-2025,Andhra Pradesh,Visakhapatnam,531149,1,6
12-09-2025,Andhra Pradesh,Visakhapatnam,530016,0,16
12-09-2025,Andhra Pradesh,Visakhapatnam,530027,0,14
12-09-2025,Andhra Pradesh,Visakhapatnam,530041,2,8
12-09-2025,Andhra Pradesh,Visakhapatnam,530044,0,24
12-09-2025,Andhra Pradesh,Visakhapatnam,530048,3,27
12-09-2025,Andhra Pradesh,Visakhapatnam,530052,1,3
12-09-2025,Andhra Pradesh,Visakhapatnam,531019,0,1
12-09-2025,Andhra Pradesh,Visakhapatnam,531020,1,1
12-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,4
12-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,11
12-09-2025,Andhra Pradesh,Visakhapatnam,531027,1,6
12-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,6
12-09-2025,Andhra Pradesh,Visakhapatnam,531036,2,15
12-09-2025,Andhra Pradesh,Visakhapatnam,531055,1,21
12-09-2025,Andhra Pradesh,Visakhapatnam,531077,1,9
12-09-2025,Andhra Pradesh,Visakhapatnam,531081,0,8
12-09-2025,Andhra Pradesh,Visakhapatnam,531117,0,1
12-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,7
12-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530004,2,9
11-09-2025,Andhra Pradesh,Visakhapatnam,530011,3,15
11-09-2025,Andhra Pradesh,Visakhapatnam,530013,2,14
11-09-2025,Andhra Pradesh,Visakhapatnam,530017,4,22
11-09-2025,Andhra Pradesh,Visakhapatnam,530031,1,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530032,1,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530046,2,20
11-09-2025,Andhra Pradesh,Visakhapatnam,530053,1,2
11-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531026,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531029,3,19
11-09-2025,Andhra Pradesh,Visakhapatnam,531033,0,3
11-09-2025,Andhra Pradesh,Visakhapatnam,531077,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531083,1,5
11-09-2025,Andhra Pradesh,Visakhapatnam,531111,6,8
11-09-2025,Andhra Pradesh,Visakhapatnam,531113,0,11
11-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,5
11-09-2025,Andhra Pradesh,Visakhapatnam,531133,5,8
11-09-2025,Andhra Pradesh,Visakhapatnam,535145,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,535273,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,530002,2,7
13-09-2025,Andhra Pradesh,Visakhapatnam,530007,1,4
13-09-2025,Andhra Pradesh,Visakhapatnam,530009,0,5
13-09-2025,Andhra Pradesh,Visakhapatnam,530024,0,1
13-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,530046,6,11
13-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
13-09-2025,Andhra Pradesh,Visakhapatnam,531030,0,4
13-09-2025,Andhra Pradesh,Visakhapatnam,531075,0,2
13-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,5
13-09-2025,Andhra Pradesh,Visakhapatnam,531162,1,7
14-09-2025,Andhra Pradesh,Visakhapatnam,530001,1,4
14-09-2025,Andhra Pradesh,Visakhapatnam,530007,0,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530009,1,1
14-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530032,2,0
14-09-2025,Andhra Pradesh,Visakhapatnam,530041,3,3
14-09-2025,Andhra Pradesh,Visakhapatnam,530044,1,5
14-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,1
14-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,4
15-09-2025,Andhra Pradesh,Visakhapatnam,530008,3,27
15-09-2025,Andhra Pradesh,Visakhapatnam,530022,0,4
15-09-2025,Andhra Pradesh,Visakhapatnam,530024,1,6
15-09-2025,Andhra Pradesh,Visakhapatnam,530040,0,28
15-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531060,0,5
15-09-2025,Andhra Pradesh,Visakhapatnam,531061,0,10
15-09-2025,Andhra Pradesh,Visakhapatnam,531114,4,14
15-09-2025,Andhra Pradesh,Visakhapatnam,531133,5,18
15-09-2025,Andhra Pradesh,Visakhapatnam,531149,0,12
16-09-2025,Andhra Pradesh,Visakhapatnam,530004,1,11
16-09-2025,Andhra Pradesh,Visakhapatnam,530007,2,9
16-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,21
16-09-2025,Andhra Pradesh,Visakhapatnam,530028,1,1
16-09-2025,Andhra Pradesh,Visakhapatnam,530040,1,27
16-09-2025,Andhra Pradesh,Visakhapatnam,531023,0,1
16-09-2025,Andhra Pradesh,Visakhapatnam,531026,0,8
16-09-2025,Andhra Pradesh,Visakhapatnam,531029,3,21
16-09-2025,Andhra Pradesh,Visakhapatnam,531087,1,2
16-09-2025,Andhra Pradesh,Visakhapatnam,531115,0,6
16-09-2025,Andhra Pradesh,Visakhapatnam,531117,1,7
16-09-2025,Andhra Pradesh,Visakhapatnam,531127,0,5
16-09-2025,Andhra Pradesh,Visakhapatnam,531162,0,18
16-09-2025,Andhra Pradesh,Visakhapatnam,531173,5,14
16-09-2025,Andhra Pradesh,Visakhapatnam,531219,1,8
16-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,2
17-09-2025,Andhra Pradesh,Visakhapatnam,530004,0,8
17-09-2025,Andhra Pradesh,Visakhapatnam,530011,3,14
17-09-2025,Andhra Pradesh,Visakhapatnam,530017,6,31
17-09-2025,Andhra Pradesh,Visakhapatnam,530018,0,10
17-09-2025,Andhra Pradesh,Visakhapatnam,530026,3,42
17-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
17-09-2025,Andhra Pradesh,Visakhapatnam,531019,2,7
17-09-2025,Andhra Pradesh,Visakhapatnam,531026,1,4
17-09-2025,Andhra Pradesh,Visakhapatnam,531029,5,15
17-09-2025,Andhra Pradesh,Visakhapatnam,531031,0,4
17-09-2025,Andhra Pradesh,Visakhapatnam,531032,0,4
