date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Andhra Pradesh,Visakhapatnam,530001,2,0,1
01-09-2025,Andhra Pradesh,Visakhapatnam,530011,5,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,530022,2,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,531024,2,0,0
01-09-2025,Andhra Pradesh,Visakhapatnam,531030,2,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,530047,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531023,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531026,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531028,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531036,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531055,2,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,531077,5,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,530001,1,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,530007,3,0,0
03-09-2025,Andhra Pradesh,Visakhapatnam,530018,1,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,530024,1,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,530046,3,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531027,2,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531035,2,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531081,0,1,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531111,2,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531113,2,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531127,1,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,531173,2,0,0
02-09-2025,Andhra Pradesh,Visakhapatnam,535145,5,1,0
07-09-2025,Andhra Pradesh,Visakhapatnam,531055,1,0,0
07-09-2025,Andhra Pradesh,Visakhapatnam,531061,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530002,2,1,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530008,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530013,2,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530016,3,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530027,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,530048,4,1,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531035,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531036,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531061,2,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531115,1,0,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531133,4,1,0
04-09-2025,Andhra Pradesh,Visakhapatnam,531173,2,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530001,2,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530003,1,1,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530004,1,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530017,5,0,1
06-09-2025,Andhra Pradesh,Visakhapatnam,530022,2,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530040,2,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530047,2,1,0
06-09-2025,Andhra Pradesh,Visakhapatnam,530051,2,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,531055,5,0,0
06-09-2025,Andhra Pradesh,Visakhapatnam,535273,1,2,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530012,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530013,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530044,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530045,2,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530046,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,530052,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,531024,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,531111,0,1,0
05-09-2025,Andhra Pradesh,Visakhapatnam,531113,1,0,0
05-09-2025,Andhra Pradesh,Visakhapatnam,531149,2,1,0
05-09-2025,Andhra Pradesh,Visakhapatnam,531173,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530002,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530005,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530007,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530008,2,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530011,2,1,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530044,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,530051,1,1,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531027,3,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531029,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531030,2,1,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531033,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531040,4,1,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531084,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531111,1,0,0
08-09-2025,Andhra Pradesh,Visakhapatnam,531149,1,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,530008,1,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,530013,1,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531001,1,1,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531034,3,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531040,7,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531060,2,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531077,1,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,531173,1,0,0
09-09-2025,Andhra Pradesh,Visakhapatnam,535145,1,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,530041,2,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,530044,3,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,530053,1,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531002,2,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531032,1,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531075,1,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531077,5,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531081,1,1,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531114,1,0,0
10-09-2025,Andhra Pradesh,Visakhapatnam,531163,2,0,0
12-09-2025,Andhra Pradesh,Visakhapatnam,530045,1,1,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531029,3,2,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531040,2,0,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531115,3,0,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531126,3,0,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531149,4,0,0
12-09-2025,Andhra Pradesh,Visakhapatnam,531173,2,1,0
11-09-2025,Andhra Pradesh,Visakhapatnam,530041,2,0,0
11-09-2025,Andhra Pradesh,Visakhapatnam,530052,0,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,531034,1,0,0
11-09-2025,Andhra Pradesh,Visakhapatnam,531105,3,2,0
11-09-2025,Andhra Pradesh,Visakhapatnam,531149,3,1,0
15-09-2025,Andhra Pradesh,Visakhapatnam,530047,2,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,531021,1,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,531033,1,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,531040,5,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,531081,2,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,531084,3,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,535145,1,0,0
15-09-2025,Andhra Pradesh,Visakhapatnam,535250,1,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,530003,1,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,530004,6,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,530013,2,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,530027,2,1,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531025,1,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531026,2,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531028,1,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531032,1,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531111,4,1,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531113,2,0,0
13-09-2025,Andhra Pradesh,Visakhapatnam,531151,3,0,0
14-09-2025,Andhra Pradesh,Visakhapatnam,530016,2,0,0
14-09-2025,Andhra Pradesh,Visakhapatnam,531028,0,1,0
14-09-2025,Andhra Pradesh,Visakhapatnam,531114,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,530012,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,530022,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,530026,2,1,0
16-09-2025,Andhra Pradesh,Visakhapatnam,530046,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,531055,1,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,531077,7,0,0
16-09-2025,Andhra Pradesh,Visakhapatnam,531081,0,1,0
16-09-2025,Andhra Pradesh,Visakhapatnam,531084,2,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,530020,1,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,530024,2,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,531055,2,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,531061,1,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,531084,3,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,531087,1,0,0
17-09-2025,Andhra Pradesh,Visakhapatnam,531151,7,2,0
20-09-2025,Andhra Pradesh,Visakhapatnam,530011,1,0,0
20-09-2025,Andhra Pradesh,Visakhapatnam,530012,3,0,0
20-09-2025,Andhra Pradesh,Visakhapatnam,530016,2,0,0
20-09-2025,Andhra Pradesh,Visakhapatnam,530026,2,1,0
20-09-2025,Andhra Pradesh,Visakhapatnam,530047,1,0,0
