date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Tamil Nadu,Dharmapuri,635205,670,203
01-03-2025,Tamil Nadu,Dharmapuri,635116,69,25
01-03-2025,Tamil Nadu,Dharmapuri,636705,184,99
01-03-2025,Tamil Nadu,Dharmapuri,636807,444,188
01-03-2025,Tamil Nadu,Dharmapuri,635305,392,156
01-03-2025,Tamil Nadu,Dharmapuri,636804,196,57
01-03-2025,Tamil Nadu,Dharmapuri,636904,239,92
01-03-2025,Tamil Nadu,Dharmapuri,636704,925,257
01-05-2025,Tamil Nadu,Dharmapuri,635202,308,183
01-04-2025,Tamil Nadu,Dharmapuri,635106,14,16
01-04-2025,Tamil Nadu,Dharmapuri,636809,323,223
01-04-2025,Tamil Nadu,Dharmapuri,635116,28,21
01-06-2025,Tamil Nadu,Dharmapuri,635201,28,23
01-06-2025,Tamil Nadu,Dharmapuri,636804,96,99
01-06-2025,Tamil Nadu,Dharmapuri,635302,112,80
01-06-2025,Tamil Nadu,Dharmapuri,635303,167,149
19-10-2025,Tamil Nadu,Dharmapuri,635115,1,1
19-10-2025,Tamil Nadu,Dharmapuri,635116,6,1
19-10-2025,Tamil Nadu,Dharmapuri,635123,0,6
19-10-2025,Tamil Nadu,Dharmapuri,636352,5,4
19-10-2025,Tamil Nadu,Dharmapuri,636809,36,23
19-10-2025,Tamil Nadu,Dharmapuri,636812,7,2
20-10-2025,Tamil Nadu,Dharmapuri,635126,1,0
20-10-2025,Tamil Nadu,Dharmapuri,636803,1,0
20-10-2025,Tamil Nadu,Dharmapuri,636906,1,0
26-10-2025,Tamil Nadu,Dharmapuri,635123,0,5
26-10-2025,Tamil Nadu,Dharmapuri,635303,9,12
26-10-2025,Tamil Nadu,Dharmapuri,636704,14,39
26-10-2025,Tamil Nadu,Dharmapuri,636902,5,3
18-10-2025,Tamil Nadu,Dharmapuri,635110,1,0
16-10-2025,Tamil Nadu,Dharmapuri,635118,1,0
16-10-2025,Tamil Nadu,Dharmapuri,635123,1,0
31-10-2025,Tamil Nadu,Dharmapuri,635002,1,0
02-11-2025,Tamil Nadu,Dharmapuri,635201,1,2
05-11-2025,Tamil Nadu,Dharmapuri,635104,1,0
09-11-2025,Tamil Nadu,Dharmapuri,635106,1,0
09-11-2025,Tamil Nadu,Dharmapuri,635202,5,0
09-11-2025,Tamil Nadu,Dharmapuri,636803,3,0
09-11-2025,Tamil Nadu,Dharmapuri,636808,8,3
09-11-2025,Tamil Nadu,Dharmapuri,636811,0,1
08-11-2025,Tamil Nadu,Dharmapuri,635121,0,1
16-11-2025,Tamil Nadu,Dharmapuri,636806,4,1
16-11-2025,Tamil Nadu,Dharmapuri,636902,4,0
19-11-2025,Tamil Nadu,Dharmapuri,635115,0,1
16-12-2025,Tamil Nadu,Dharmapuri,635115,1,0
18-12-2025,Tamil Nadu,Dharmapuri,635207,0,1
07-12-2025,Tamil Nadu,Dharmapuri,635106,2,0
07-12-2025,Tamil Nadu,Dharmapuri,635120,1,0
06-12-2025,Tamil Nadu,Dharmapuri,635117,0,1
25-12-2025,Tamil Nadu,Dharmapuri,635123,1,1
26-12-2025,Tamil Nadu,Dharmapuri,635001,0,1
28-12-2025,Tamil Nadu,Dharmapuri,635202,21,2
28-12-2025,Tamil Nadu,Dharmapuri,635203,1,0
28-12-2025,Tamil Nadu,Dharmapuri,635205,5,1
28-12-2025,Tamil Nadu,Dharmapuri,636811,4,3
28-12-2025,Tamil Nadu,Dharmapuri,636902,1,0
28-12-2025,Tamil Nadu,Dharmapuri,636904,1,0
27-12-2025,Tamil Nadu,Dharmapuri,635112,1,0
27-12-2025,Tamil Nadu,Dharmapuri,635123,4,1
27-12-2025,Tamil Nadu,Dharmapuri,635301,20,6
27-12-2025,Tamil Nadu,Dharmapuri,636805,19,9
29-12-2025,Tamil Nadu,Dharmapuri,635111,10,3
29-12-2025,Tamil Nadu,Dharmapuri,635201,11,2
29-12-2025,Tamil Nadu,Dharmapuri,636806,12,5
29-12-2025,Tamil Nadu,Dharmapuri,636810,42,7
29-12-2025,Tamil Nadu,Dharmapuri,636902,6,2
21-12-2025,Tamil Nadu,Dharmapuri,635202,0,3
21-12-2025,Tamil Nadu,Dharmapuri,635301,0,1
20-12-2025,Tamil Nadu,Dharmapuri,635112,0,1
14-12-2025,Tamil Nadu,Dharmapuri,635302,0,3
14-12-2025,Tamil Nadu,Dharmapuri,635305,0,1
14-12-2025,Tamil Nadu,Dharmapuri,636803,0,3
03-01-2026,Tamil Nadu,Dharmapuri,635301,4,0
03-01-2026,Tamil Nadu,Dharmapuri,635302,4,0
03-01-2026,Tamil Nadu,Dharmapuri,636701,6,0
03-01-2026,Tamil Nadu,Dharmapuri,636803,3,0
03-01-2026,Tamil Nadu,Dharmapuri,636809,11,2
03-01-2026,Tamil Nadu,Dharmapuri,636811,5,0
01-01-2026,Tamil Nadu,Dharmapuri,635109,1,1
01-01-2026,Tamil Nadu,Dharmapuri,635202,57,17
01-01-2026,Tamil Nadu,Dharmapuri,636705,32,12
02-01-2026,Tamil Nadu,Dharmapuri,635111,14,6
02-01-2026,Tamil Nadu,Dharmapuri,635115,1,0
02-01-2026,Tamil Nadu,Dharmapuri,635301,19,6
02-01-2026,Tamil Nadu,Dharmapuri,636352,4,2
02-01-2026,Tamil Nadu,Dharmapuri,636807,20,4
02-01-2026,Tamil Nadu,Dharmapuri,636811,6,2
02-01-2026,Tamil Nadu,Dharmapuri,636904,12,4
08-12-2025,Tamil Nadu,Dharmapuri,635121,0,1
07-12-2025,Tamil Nadu,Dharmapuri,635202,0,6
07-12-2025,Tamil Nadu,Dharmapuri,636904,0,6
09-12-2025,Tamil Nadu,Dharmapuri,635306,0,1
10-12-2025,Tamil Nadu,Dharmapuri,635001,0,1
10-12-2025,Tamil Nadu,Dharmapuri,635126,0,1
16-11-2025,Tamil Nadu,Dharmapuri,635305,0,1
16-11-2025,Tamil Nadu,Dharmapuri,636705,0,4
16-11-2025,Tamil Nadu,Dharmapuri,636808,0,1
16-11-2025,Tamil Nadu,Dharmapuri,636812,0,1
16-11-2025,Tamil Nadu,Dharmapuri,636903,0,1
30-11-2025,Tamil Nadu,Dharmapuri,635205,0,2
30-11-2025,Tamil Nadu,Dharmapuri,635302,0,3
30-11-2025,Tamil Nadu,Dharmapuri,636705,0,1
30-11-2025,Tamil Nadu,Dharmapuri,636809,0,2
30-11-2025,Tamil Nadu,Dharmapuri,636902,0,6
24-11-2025,Tamil Nadu,Dharmapuri,635126,1,0
23-11-2025,Tamil Nadu,Dharmapuri,635205,0,2
23-11-2025,Tamil Nadu,Dharmapuri,635303,0,1
23-11-2025,Tamil Nadu,Dharmapuri,636704,4,5
23-11-2025,Tamil Nadu,Dharmapuri,636810,0,6
23-11-2025,Tamil Nadu,Dharmapuri,636813,1,1
07-11-2025,Tamil Nadu,Dharmapuri,635304,0,1
09-11-2025,Tamil Nadu,Dharmapuri,636352,0,1
09-11-2025,Tamil Nadu,Dharmapuri,636903,0,3
02-11-2025,Tamil Nadu,Dharmapuri,635302,0,2
02-11-2025,Tamil Nadu,Dharmapuri,635303,0,1
02-11-2025,Tamil Nadu,Dharmapuri,636813,0,2
31-10-2025,Tamil Nadu,Dharmapuri,635201,0,5
30-10-2025,Tamil Nadu,Dharmapuri,635306,1,0
26-10-2025,Tamil Nadu,Dharmapuri,635302,0,2
26-10-2025,Tamil Nadu,Dharmapuri,635305,0,1
26-10-2025,Tamil Nadu,Dharmapuri,636701,0,1
26-10-2025,Tamil Nadu,Dharmapuri,636810,1,2
26-10-2025,Tamil Nadu,Dharmapuri,636904,0,1
26-10-2025,Tamil Nadu,Dharmapuri,636906,0,2
23-09-2025,Tamil Nadu,Dharmapuri,635112,0,1
25-09-2025,Tamil Nadu,Dharmapuri,635106,0,1
26-09-2025,Tamil Nadu,Dharmapuri,635121,0,1
18-09-2025,Tamil Nadu,Dharmapuri,635109,0,4
01-10-2025,Tamil Nadu,Dharmapuri,635111,0,1
01-10-2025,Tamil Nadu,Dharmapuri,635123,0,1
01-10-2025,Tamil Nadu,Dharmapuri,636701,0,1
01-10-2025,Tamil Nadu,Dharmapuri,636806,0,1
01-10-2025,Tamil Nadu,Dharmapuri,636809,0,4
01-10-2025,Tamil Nadu,Dharmapuri,636813,1,1
02-10-2025,Tamil Nadu,Dharmapuri,635202,0,1
02-10-2025,Tamil Nadu,Dharmapuri,636807,0,3
02-10-2025,Tamil Nadu,Dharmapuri,636810,0,2
02-10-2025,Tamil Nadu,Dharmapuri,636813,0,1
02-10-2025,Tamil Nadu,Dharmapuri,636904,0,2
29-09-2025,Tamil Nadu,Dharmapuri,635201,0,2
30-09-2025,Tamil Nadu,Dharmapuri,635109,0,1
20-09-2025,Tamil Nadu,Dharmapuri,635109,1,0
08-09-2025,Tamil Nadu,Dharmapuri,635115,0,1
08-10-2025,Tamil Nadu,Dharmapuri,635109,0,1
07-10-2025,Tamil Nadu,Dharmapuri,635001,0,1
12-10-2025,Tamil Nadu,Dharmapuri,635109,0,1
12-10-2025,Tamil Nadu,Dharmapuri,635111,0,2
12-10-2025,Tamil Nadu,Dharmapuri,636704,0,1
12-10-2025,Tamil Nadu,Dharmapuri,636808,1,2
12-10-2025,Tamil Nadu,Dharmapuri,636812,0,1
12-10-2025,Tamil Nadu,Dharmapuri,636905,0,1
12-10-2025,Tamil Nadu,Dharmapuri,636906,0,3
11-10-2025,Tamil Nadu,Dharmapuri,635206,0,1
05-09-2025,Tamil Nadu,Dharmapuri,635116,0,1
05-09-2025,Tamil Nadu,Dharmapuri,635305,1,7
07-09-2025,Tamil Nadu,Dharmapuri,635305,0,1
07-09-2025,Tamil Nadu,Dharmapuri,636806,0,2
07-09-2025,Tamil Nadu,Dharmapuri,636902,0,1
07-09-2025,Tamil Nadu,Dharmapuri,636906,0,3
20-10-2025,Tamil Nadu,Dharmapuri,636809,0,1
19-10-2025,Tamil Nadu,Dharmapuri,635301,0,1
19-10-2025,Tamil Nadu,Dharmapuri,636803,0,1
19-10-2025,Tamil Nadu,Dharmapuri,636804,0,2
21-10-2025,Tamil Nadu,Dharmapuri,636352,0,1
21-10-2025,Tamil Nadu,Dharmapuri,636906,2,0
09-10-2025,Tamil Nadu,Dharmapuri,635307,0,1
05-10-2025,Tamil Nadu,Dharmapuri,636804,0,2
28-09-2025,Tamil Nadu,Dharmapuri,636704,0,1
28-09-2025,Tamil Nadu,Dharmapuri,636810,0,2
28-09-2025,Tamil Nadu,Dharmapuri,636811,0,1
28-09-2025,Tamil Nadu,Dharmapuri,636906,0,1
21-09-2025,Tamil Nadu,Dharmapuri,635116,1,0
21-09-2025,Tamil Nadu,Dharmapuri,635303,0,1
21-09-2025,Tamil Nadu,Dharmapuri,636704,0,1
22-09-2025,Tamil Nadu,Dharmapuri,635109,0,2
22-09-2025,Tamil Nadu,Dharmapuri,635126,0,2
14-09-2025,Tamil Nadu,Dharmapuri,636805,0,1
14-09-2025,Tamil Nadu,Dharmapuri,636808,0,1
