date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Tamil Nadu,Coimbatore,641109,32,380
01-03-2025,Tamil Nadu,Coimbatore,641107,46,558
01-03-2025,Tamil Nadu,Coimbatore,641035,68,772
01-03-2025,Tamil Nadu,Coimbatore,641028,27,234
01-03-2025,Tamil Nadu,Coimbatore,641105,28,434
01-04-2025,Tamil Nadu,Coimbatore,641035,76,797
01-05-2025,Tamil Nadu,Coimbatore,642002,46,410
01-03-2025,Tamil Nadu,Coimbatore,641004,54,450
01-03-2025,Tamil Nadu,Coimbatore,641023,37,434
01-03-2025,Tamil Nadu,Coimbatore,641010,46,520
01-03-2025,Tamil Nadu,Coimbatore,641108,21,286
01-03-2025,Tamil Nadu,Coimbatore,642001,33,468
02-09-2025,Tamil Nadu,Coimbatore,641010,0,16
02-09-2025,Tamil Nadu,Coimbatore,641013,0,3
02-09-2025,Tamil Nadu,Coimbatore,641025,4,16
02-09-2025,Tamil Nadu,Coimbatore,641031,2,5
02-09-2025,Tamil Nadu,Coimbatore,641037,0,6
02-09-2025,Tamil Nadu,Coimbatore,641048,2,6
02-09-2025,Tamil Nadu,Coimbatore,641113,2,8
02-09-2025,Tamil Nadu,Coimbatore,641302,0,15
02-09-2025,Tamil Nadu,Coimbatore,641402,2,18
02-09-2025,Tamil Nadu,Coimbatore,641658,0,2
02-09-2025,Tamil Nadu,Coimbatore,642005,1,17
02-09-2025,Tamil Nadu,Coimbatore,642105,0,2
02-09-2025,Tamil Nadu,Coimbatore,642123,0,4
02-09-2025,Tamil Nadu,Coimbatore,642134,0,8
02-09-2025,Tamil Nadu,Coimbatore,642205,1,0
01-09-2025,Tamil Nadu,Coimbatore,641004,2,25
01-09-2025,Tamil Nadu,Coimbatore,641005,4,10
01-09-2025,Tamil Nadu,Coimbatore,641010,0,21
01-09-2025,Tamil Nadu,Coimbatore,641012,0,5
01-09-2025,Tamil Nadu,Coimbatore,641014,0,4
01-09-2025,Tamil Nadu,Coimbatore,641018,0,2
01-09-2025,Tamil Nadu,Coimbatore,641020,3,20
01-09-2025,Tamil Nadu,Coimbatore,641022,0,5
01-09-2025,Tamil Nadu,Coimbatore,641031,1,4
01-09-2025,Tamil Nadu,Coimbatore,641032,2,10
01-09-2025,Tamil Nadu,Coimbatore,641041,3,16
01-09-2025,Tamil Nadu,Coimbatore,641062,4,14
01-09-2025,Tamil Nadu,Coimbatore,641107,0,20
01-09-2025,Tamil Nadu,Coimbatore,641110,1,13
01-09-2025,Tamil Nadu,Coimbatore,641113,0,6
01-09-2025,Tamil Nadu,Coimbatore,641302,1,20
01-09-2025,Tamil Nadu,Coimbatore,641401,1,3
01-09-2025,Tamil Nadu,Coimbatore,641605,0,1
01-09-2025,Tamil Nadu,Coimbatore,641668,1,5
01-09-2025,Tamil Nadu,Coimbatore,641669,1,5
01-09-2025,Tamil Nadu,Coimbatore,641671,0,4
01-09-2025,Tamil Nadu,Coimbatore,641697,1,11
01-09-2025,Tamil Nadu,Coimbatore,642002,2,10
01-09-2025,Tamil Nadu,Coimbatore,642003,0,15
01-09-2025,Tamil Nadu,Coimbatore,642006,1,8
01-09-2025,Tamil Nadu,Coimbatore,642104,0,8
01-09-2025,Tamil Nadu,Coimbatore,642107,2,5
01-09-2025,Tamil Nadu,Coimbatore,642109,2,6
01-09-2025,Tamil Nadu,Coimbatore,642123,2,5
01-09-2025,Tamil Nadu,Coimbatore,642129,0,3
03-09-2025,Tamil Nadu,Coimbatore,641001,5,55
03-09-2025,Tamil Nadu,Coimbatore,641006,3,28
03-09-2025,Tamil Nadu,Coimbatore,641008,3,18
03-09-2025,Tamil Nadu,Coimbatore,641016,4,7
03-09-2025,Tamil Nadu,Coimbatore,641017,0,10
03-09-2025,Tamil Nadu,Coimbatore,641021,0,10
03-09-2025,Tamil Nadu,Coimbatore,641024,0,8
03-09-2025,Tamil Nadu,Coimbatore,641028,1,8
03-09-2025,Tamil Nadu,Coimbatore,641029,1,8
03-09-2025,Tamil Nadu,Coimbatore,641034,1,4
03-09-2025,Tamil Nadu,Coimbatore,641038,0,19
03-09-2025,Tamil Nadu,Coimbatore,641041,1,20
03-09-2025,Tamil Nadu,Coimbatore,641043,0,7
03-09-2025,Tamil Nadu,Coimbatore,641049,1,4
03-09-2025,Tamil Nadu,Coimbatore,641201,1,5
03-09-2025,Tamil Nadu,Coimbatore,641407,0,2
03-09-2025,Tamil Nadu,Coimbatore,641659,0,14
03-09-2025,Tamil Nadu,Coimbatore,642129,1,5
04-09-2025,Tamil Nadu,Coimbatore,638459,0,7
04-09-2025,Tamil Nadu,Coimbatore,641006,3,20
04-09-2025,Tamil Nadu,Coimbatore,641016,6,10
04-09-2025,Tamil Nadu,Coimbatore,641027,2,9
04-09-2025,Tamil Nadu,Coimbatore,641030,1,8
04-09-2025,Tamil Nadu,Coimbatore,641035,2,23
04-09-2025,Tamil Nadu,Coimbatore,641036,0,2
04-09-2025,Tamil Nadu,Coimbatore,641047,1,5
04-09-2025,Tamil Nadu,Coimbatore,641202,0,2
04-09-2025,Tamil Nadu,Coimbatore,641305,3,14
04-09-2025,Tamil Nadu,Coimbatore,641668,0,1
04-09-2025,Tamil Nadu,Coimbatore,641671,0,1
04-09-2025,Tamil Nadu,Coimbatore,641697,0,5
04-09-2025,Tamil Nadu,Coimbatore,642001,3,20
04-09-2025,Tamil Nadu,Coimbatore,642107,1,5
04-09-2025,Tamil Nadu,Coimbatore,642110,2,8
05-09-2025,Tamil Nadu,Coimbatore,641001,1,9
05-09-2025,Tamil Nadu,Coimbatore,641004,0,2
05-09-2025,Tamil Nadu,Coimbatore,641006,3,12
05-09-2025,Tamil Nadu,Coimbatore,641007,0,5
05-09-2025,Tamil Nadu,Coimbatore,641010,1,4
05-09-2025,Tamil Nadu,Coimbatore,641023,2,0
05-09-2025,Tamil Nadu,Coimbatore,641037,0,6
05-09-2025,Tamil Nadu,Coimbatore,641044,0,2
05-09-2025,Tamil Nadu,Coimbatore,641062,0,3
05-09-2025,Tamil Nadu,Coimbatore,641101,0,2
05-09-2025,Tamil Nadu,Coimbatore,641105,1,5
05-09-2025,Tamil Nadu,Coimbatore,641113,1,3
05-09-2025,Tamil Nadu,Coimbatore,641301,1,4
05-09-2025,Tamil Nadu,Coimbatore,641697,0,3
05-09-2025,Tamil Nadu,Coimbatore,642006,1,5
05-09-2025,Tamil Nadu,Coimbatore,642104,0,3
05-09-2025,Tamil Nadu,Coimbatore,642109,0,1
05-09-2025,Tamil Nadu,Coimbatore,642123,0,2
07-09-2025,Tamil Nadu,Coimbatore,641016,1,7
07-09-2025,Tamil Nadu,Coimbatore,641022,0,1
07-09-2025,Tamil Nadu,Coimbatore,641030,1,8
07-09-2025,Tamil Nadu,Coimbatore,641046,0,1
07-09-2025,Tamil Nadu,Coimbatore,641105,0,1
07-09-2025,Tamil Nadu,Coimbatore,641669,0,1
07-09-2025,Tamil Nadu,Coimbatore,641697,0,2
06-09-2025,Tamil Nadu,Coimbatore,641001,9,35
06-09-2025,Tamil Nadu,Coimbatore,641005,2,9
06-09-2025,Tamil Nadu,Coimbatore,641007,1,8
06-09-2025,Tamil Nadu,Coimbatore,641009,0,1
06-09-2025,Tamil Nadu,Coimbatore,641028,1,10
06-09-2025,Tamil Nadu,Coimbatore,641035,8,24
06-09-2025,Tamil Nadu,Coimbatore,641037,1,3
06-09-2025,Tamil Nadu,Coimbatore,641039,1,9
06-09-2025,Tamil Nadu,Coimbatore,641101,0,4
06-09-2025,Tamil Nadu,Coimbatore,642004,1,2
06-09-2025,Tamil Nadu,Coimbatore,642106,1,0
06-09-2025,Tamil Nadu,Coimbatore,642110,1,7
06-09-2025,Tamil Nadu,Coimbatore,642126,0,1
06-09-2025,Tamil Nadu,Coimbatore,642202,1,0
09-09-2025,Tamil Nadu,Coimbatore,641011,0,1
09-09-2025,Tamil Nadu,Coimbatore,641013,0,3
09-09-2025,Tamil Nadu,Coimbatore,641017,0,18
09-09-2025,Tamil Nadu,Coimbatore,641027,4,15
09-09-2025,Tamil Nadu,Coimbatore,641028,2,9
09-09-2025,Tamil Nadu,Coimbatore,641030,2,15
09-09-2025,Tamil Nadu,Coimbatore,641031,0,9
09-09-2025,Tamil Nadu,Coimbatore,641044,1,4
09-09-2025,Tamil Nadu,Coimbatore,641047,0,7
09-09-2025,Tamil Nadu,Coimbatore,641048,4,20
09-09-2025,Tamil Nadu,Coimbatore,641049,2,4
09-09-2025,Tamil Nadu,Coimbatore,641050,1,10
09-09-2025,Tamil Nadu,Coimbatore,641101,1,6
09-09-2025,Tamil Nadu,Coimbatore,641107,5,23
09-09-2025,Tamil Nadu,Coimbatore,641301,4,22
09-09-2025,Tamil Nadu,Coimbatore,641658,0,2
09-09-2025,Tamil Nadu,Coimbatore,641659,0,18
09-09-2025,Tamil Nadu,Coimbatore,642005,0,10
09-09-2025,Tamil Nadu,Coimbatore,642006,1,6
09-09-2025,Tamil Nadu,Coimbatore,642103,0,6
09-09-2025,Tamil Nadu,Coimbatore,642106,0,1
09-09-2025,Tamil Nadu,Coimbatore,642114,0,6
09-09-2025,Tamil Nadu,Coimbatore,642125,0,2
09-09-2025,Tamil Nadu,Coimbatore,642133,0,2
09-09-2025,Tamil Nadu,Coimbatore,642201,0,1
08-09-2025,Tamil Nadu,Coimbatore,641005,0,18
08-09-2025,Tamil Nadu,Coimbatore,641006,4,27
08-09-2025,Tamil Nadu,Coimbatore,641012,1,2
08-09-2025,Tamil Nadu,Coimbatore,641013,0,1
08-09-2025,Tamil Nadu,Coimbatore,641016,8,26
08-09-2025,Tamil Nadu,Coimbatore,641017,2,13
08-09-2025,Tamil Nadu,Coimbatore,641018,1,4
08-09-2025,Tamil Nadu,Coimbatore,641021,2,15
08-09-2025,Tamil Nadu,Coimbatore,641034,1,4
08-09-2025,Tamil Nadu,Coimbatore,641036,0,2
08-09-2025,Tamil Nadu,Coimbatore,641045,0,11
08-09-2025,Tamil Nadu,Coimbatore,641049,1,11
08-09-2025,Tamil Nadu,Coimbatore,641062,2,10
08-09-2025,Tamil Nadu,Coimbatore,641103,1,15
08-09-2025,Tamil Nadu,Coimbatore,641105,3,5
08-09-2025,Tamil Nadu,Coimbatore,641109,0,10
08-09-2025,Tamil Nadu,Coimbatore,641201,0,5
08-09-2025,Tamil Nadu,Coimbatore,642002,1,10
08-09-2025,Tamil Nadu,Coimbatore,642004,0,9
08-09-2025,Tamil Nadu,Coimbatore,642006,0,12
08-09-2025,Tamil Nadu,Coimbatore,642107,0,4
08-09-2025,Tamil Nadu,Coimbatore,642109,1,8
08-09-2025,Tamil Nadu,Coimbatore,642206,0,1
10-09-2025,Tamil Nadu,Coimbatore,638459,0,5
10-09-2025,Tamil Nadu,Coimbatore,641004,5,30
10-09-2025,Tamil Nadu,Coimbatore,641005,2,16
10-09-2025,Tamil Nadu,Coimbatore,641008,4,29
10-09-2025,Tamil Nadu,Coimbatore,641012,1,8
10-09-2025,Tamil Nadu,Coimbatore,641014,2,2
10-09-2025,Tamil Nadu,Coimbatore,641027,0,9
10-09-2025,Tamil Nadu,Coimbatore,641029,1,11
10-09-2025,Tamil Nadu,Coimbatore,641046,1,12
10-09-2025,Tamil Nadu,Coimbatore,641047,0,6
10-09-2025,Tamil Nadu,Coimbatore,641050,0,2
10-09-2025,Tamil Nadu,Coimbatore,641103,2,11
10-09-2025,Tamil Nadu,Coimbatore,641202,0,4
10-09-2025,Tamil Nadu,Coimbatore,641301,1,35
10-09-2025,Tamil Nadu,Coimbatore,641401,1,4
10-09-2025,Tamil Nadu,Coimbatore,642005,1,8
10-09-2025,Tamil Nadu,Coimbatore,642007,1,9
10-09-2025,Tamil Nadu,Coimbatore,642105,0,1
10-09-2025,Tamil Nadu,Coimbatore,642110,1,2
10-09-2025,Tamil Nadu,Coimbatore,642125,1,1
10-09-2025,Tamil Nadu,Coimbatore,642134,0,4
10-09-2025,Tamil Nadu,Coimbatore,642201,0,2
10-09-2025,Tamil Nadu,Coimbatore,642202,0,6
11-09-2025,Tamil Nadu,Coimbatore,641002,2,9
11-09-2025,Tamil Nadu,Coimbatore,641013,0,1
11-09-2025,Tamil Nadu,Coimbatore,641016,3,17
11-09-2025,Tamil Nadu,Coimbatore,641019,1,8
11-09-2025,Tamil Nadu,Coimbatore,641021,1,13
11-09-2025,Tamil Nadu,Coimbatore,641038,1,6
11-09-2025,Tamil Nadu,Coimbatore,641044,1,1
11-09-2025,Tamil Nadu,Coimbatore,641050,2,3
11-09-2025,Tamil Nadu,Coimbatore,641101,1,16
11-09-2025,Tamil Nadu,Coimbatore,641103,7,18
11-09-2025,Tamil Nadu,Coimbatore,641113,0,2
11-09-2025,Tamil Nadu,Coimbatore,641407,1,4
11-09-2025,Tamil Nadu,Coimbatore,641671,1,1
11-09-2025,Tamil Nadu,Coimbatore,641697,2,3
11-09-2025,Tamil Nadu,Coimbatore,642005,1,30
11-09-2025,Tamil Nadu,Coimbatore,642110,0,6
11-09-2025,Tamil Nadu,Coimbatore,642120,0,5
11-09-2025,Tamil Nadu,Coimbatore,642133,0,1
12-09-2025,Tamil Nadu,Coimbatore,641001,6,32
12-09-2025,Tamil Nadu,Coimbatore,641008,5,23
12-09-2025,Tamil Nadu,Coimbatore,641012,1,7
12-09-2025,Tamil Nadu,Coimbatore,641014,3,6
12-09-2025,Tamil Nadu,Coimbatore,641020,0,16
12-09-2025,Tamil Nadu,Coimbatore,641026,1,13
12-09-2025,Tamil Nadu,Coimbatore,641028,3,10
12-09-2025,Tamil Nadu,Coimbatore,641032,2,8
12-09-2025,Tamil Nadu,Coimbatore,641034,2,8
12-09-2025,Tamil Nadu,Coimbatore,641046,1,7
13-09-2025,Tamil Nadu,Coimbatore,641002,1,7
13-09-2025,Tamil Nadu,Coimbatore,641003,0,2
13-09-2025,Tamil Nadu,Coimbatore,641016,4,14
13-09-2025,Tamil Nadu,Coimbatore,641022,2,7
13-09-2025,Tamil Nadu,Coimbatore,641028,3,12
13-09-2025,Tamil Nadu,Coimbatore,641032,3,4
13-09-2025,Tamil Nadu,Coimbatore,641033,1,5
13-09-2025,Tamil Nadu,Coimbatore,641039,0,3
13-09-2025,Tamil Nadu,Coimbatore,641042,6,11
13-09-2025,Tamil Nadu,Coimbatore,641046,4,8
13-09-2025,Tamil Nadu,Coimbatore,641047,2,5
13-09-2025,Tamil Nadu,Coimbatore,641048,2,11
13-09-2025,Tamil Nadu,Coimbatore,641110,2,8
13-09-2025,Tamil Nadu,Coimbatore,641201,1,3
13-09-2025,Tamil Nadu,Coimbatore,641302,0,7
13-09-2025,Tamil Nadu,Coimbatore,641401,1,4
13-09-2025,Tamil Nadu,Coimbatore,641697,0,1
13-09-2025,Tamil Nadu,Coimbatore,642002,0,5
13-09-2025,Tamil Nadu,Coimbatore,642101,0,2
12-09-2025,Tamil Nadu,Coimbatore,641062,1,6
12-09-2025,Tamil Nadu,Coimbatore,641109,2,14
12-09-2025,Tamil Nadu,Coimbatore,641114,0,4
12-09-2025,Tamil Nadu,Coimbatore,641658,0,1
12-09-2025,Tamil Nadu,Coimbatore,641669,2,3
12-09-2025,Tamil Nadu,Coimbatore,642103,0,6
12-09-2025,Tamil Nadu,Coimbatore,642123,2,5
12-09-2025,Tamil Nadu,Coimbatore,642129,0,7
12-09-2025,Tamil Nadu,Coimbatore,642205,0,4
15-09-2025,Tamil Nadu,Coimbatore,641002,1,7
15-09-2025,Tamil Nadu,Coimbatore,641004,1,23
15-09-2025,Tamil Nadu,Coimbatore,641006,4,17
15-09-2025,Tamil Nadu,Coimbatore,641013,0,1
15-09-2025,Tamil Nadu,Coimbatore,641020,0,11
15-09-2025,Tamil Nadu,Coimbatore,641021,1,13
15-09-2025,Tamil Nadu,Coimbatore,641026,3,18
15-09-2025,Tamil Nadu,Coimbatore,641031,1,12
15-09-2025,Tamil Nadu,Coimbatore,641036,0,3
15-09-2025,Tamil Nadu,Coimbatore,641037,2,3
15-09-2025,Tamil Nadu,Coimbatore,641050,0,2
15-09-2025,Tamil Nadu,Coimbatore,641109,1,9
15-09-2025,Tamil Nadu,Coimbatore,641114,0,2
15-09-2025,Tamil Nadu,Coimbatore,641301,0,18
15-09-2025,Tamil Nadu,Coimbatore,641305,1,13
15-09-2025,Tamil Nadu,Coimbatore,641402,3,21
15-09-2025,Tamil Nadu,Coimbatore,641407,1,2
15-09-2025,Tamil Nadu,Coimbatore,641671,0,6
15-09-2025,Tamil Nadu,Coimbatore,642004,0,9
15-09-2025,Tamil Nadu,Coimbatore,642006,1,6
15-09-2025,Tamil Nadu,Coimbatore,642101,0,3
15-09-2025,Tamil Nadu,Coimbatore,642130,0,1
14-09-2025,Tamil Nadu,Coimbatore,638459,0,1
14-09-2025,Tamil Nadu,Coimbatore,641001,0,4
14-09-2025,Tamil Nadu,Coimbatore,641020,0,2
14-09-2025,Tamil Nadu,Coimbatore,641030,0,1
14-09-2025,Tamil Nadu,Coimbatore,641033,0,2
14-09-2025,Tamil Nadu,Coimbatore,641045,0,3
14-09-2025,Tamil Nadu,Coimbatore,641402,0,1
14-09-2025,Tamil Nadu,Coimbatore,641668,0,1
14-09-2025,Tamil Nadu,Coimbatore,641669,0,1
14-09-2025,Tamil Nadu,Coimbatore,642003,0,1
14-09-2025,Tamil Nadu,Coimbatore,642109,1,3
17-09-2025,Tamil Nadu,Coimbatore,641003,0,1
17-09-2025,Tamil Nadu,Coimbatore,641006,6,34
17-09-2025,Tamil Nadu,Coimbatore,641007,2,22
17-09-2025,Tamil Nadu,Coimbatore,641009,2,8
17-09-2025,Tamil Nadu,Coimbatore,641012,2,13
17-09-2025,Tamil Nadu,Coimbatore,641021,1,7
17-09-2025,Tamil Nadu,Coimbatore,641023,0,23
17-09-2025,Tamil Nadu,Coimbatore,641033,0,9
17-09-2025,Tamil Nadu,Coimbatore,641037,1,8
17-09-2025,Tamil Nadu,Coimbatore,641043,0,1
