date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Tamil Nadu,Coimbatore,641019,4,2,0
03-09-2025,Tamil Nadu,Coimbatore,641027,1,0,0
03-09-2025,Tamil Nadu,Coimbatore,641031,0,1,0
03-09-2025,Tamil Nadu,Coimbatore,641035,5,3,0
03-09-2025,Tamil Nadu,Coimbatore,641101,1,0,0
03-09-2025,Tamil Nadu,Coimbatore,641108,3,0,0
03-09-2025,Tamil Nadu,Coimbatore,641301,1,1,0
03-09-2025,Tamil Nadu,Coimbatore,641302,2,0,0
03-09-2025,Tamil Nadu,Coimbatore,642002,1,0,0
03-09-2025,Tamil Nadu,Coimbatore,642005,1,0,0
03-09-2025,Tamil Nadu,Coimbatore,642104,1,0,0
03-09-2025,Tamil Nadu,Coimbatore,642127,3,1,0
02-09-2025,Tamil Nadu,Coimbatore,641004,1,1,0
02-09-2025,Tamil Nadu,Coimbatore,641012,1,0,0
02-09-2025,Tamil Nadu,Coimbatore,641016,2,1,0
02-09-2025,Tamil Nadu,Coimbatore,641022,1,0,0
02-09-2025,Tamil Nadu,Coimbatore,641045,4,0,0
02-09-2025,Tamil Nadu,Coimbatore,641101,3,1,0
02-09-2025,Tamil Nadu,Coimbatore,641114,1,0,0
02-09-2025,Tamil Nadu,Coimbatore,642001,2,1,0
02-09-2025,Tamil Nadu,Coimbatore,642129,1,0,0
02-09-2025,Tamil Nadu,Coimbatore,642202,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641007,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641021,1,1,0
01-09-2025,Tamil Nadu,Coimbatore,641029,2,0,0
01-09-2025,Tamil Nadu,Coimbatore,641035,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,641101,2,1,0
01-09-2025,Tamil Nadu,Coimbatore,641105,5,0,0
01-09-2025,Tamil Nadu,Coimbatore,642004,5,0,0
01-09-2025,Tamil Nadu,Coimbatore,642007,0,1,0
01-09-2025,Tamil Nadu,Coimbatore,642103,1,0,0
01-09-2025,Tamil Nadu,Coimbatore,642120,1,0,0
05-09-2025,Tamil Nadu,Coimbatore,641025,1,1,0
04-09-2025,Tamil Nadu,Coimbatore,641001,3,1,0
04-09-2025,Tamil Nadu,Coimbatore,641002,1,0,0
04-09-2025,Tamil Nadu,Coimbatore,641017,2,0,0
