date,state,district,pincode,demo_age_5_17,demo_age_17_
01-04-2025,Tamil Nadu,Dharmapuri,636701,53,447
01-03-2025,Tamil Nadu,Dharmapuri,635303,15,284
01-03-2025,Tamil Nadu,Dharmapuri,636903,37,720
01-03-2025,Tamil Nadu,Dharmapuri,635301,31,395
01-03-2025,Tamil Nadu,Dharmapuri,636352,10,125
01-03-2025,Tamil Nadu,Dharmapuri,636805,12,249
02-09-2025,Tamil Nadu,Dharmapuri,635116,0,3
02-09-2025,Tamil Nadu,Dharmapuri,635301,6,24
02-09-2025,Tamil Nadu,Dharmapuri,636803,2,18
02-09-2025,Tamil Nadu,Dharmapuri,636807,1,9
02-09-2025,Tamil Nadu,Dharmapuri,636809,5,19
01-09-2025,Tamil Nadu,Dharmapuri,635111,0,19
01-09-2025,Tamil Nadu,Dharmapuri,635201,0,1
01-09-2025,Tamil Nadu,Dharmapuri,635202,2,15
01-09-2025,Tamil Nadu,Dharmapuri,636701,4,21
01-09-2025,Tamil Nadu,Dharmapuri,636704,4,9
01-09-2025,Tamil Nadu,Dharmapuri,636705,2,7
01-09-2025,Tamil Nadu,Dharmapuri,636804,2,4
01-09-2025,Tamil Nadu,Dharmapuri,636808,5,38
03-09-2025,Tamil Nadu,Dharmapuri,635303,4,11
03-09-2025,Tamil Nadu,Dharmapuri,636701,7,23
03-09-2025,Tamil Nadu,Dharmapuri,636803,3,7
03-09-2025,Tamil Nadu,Dharmapuri,636808,3,26
03-09-2025,Tamil Nadu,Dharmapuri,636811,2,2
03-09-2025,Tamil Nadu,Dharmapuri,636812,1,0
03-09-2025,Tamil Nadu,Dharmapuri,636903,4,20
04-09-2025,Tamil Nadu,Dharmapuri,635201,0,1
04-09-2025,Tamil Nadu,Dharmapuri,635202,0,10
04-09-2025,Tamil Nadu,Dharmapuri,635302,2,3
04-09-2025,Tamil Nadu,Dharmapuri,636811,3,7
04-09-2025,Tamil Nadu,Dharmapuri,636905,5,11
05-09-2025,Tamil Nadu,Dharmapuri,635123,0,1
05-09-2025,Tamil Nadu,Dharmapuri,635202,2,1
05-09-2025,Tamil Nadu,Dharmapuri,635302,0,2
05-09-2025,Tamil Nadu,Dharmapuri,635303,1,4
05-09-2025,Tamil Nadu,Dharmapuri,636352,1,0
05-09-2025,Tamil Nadu,Dharmapuri,636806,2,1
05-09-2025,Tamil Nadu,Dharmapuri,636904,1,3
07-09-2025,Tamil Nadu,Dharmapuri,635302,1,0
07-09-2025,Tamil Nadu,Dharmapuri,636809,0,2
06-09-2025,Tamil Nadu,Dharmapuri,635302,2,9
06-09-2025,Tamil Nadu,Dharmapuri,636806,0,8
06-09-2025,Tamil Nadu,Dharmapuri,636813,4,14
06-09-2025,Tamil Nadu,Dharmapuri,636906,3,8
09-09-2025,Tamil Nadu,Dharmapuri,635106,0,2
09-09-2025,Tamil Nadu,Dharmapuri,635109,0,1
09-09-2025,Tamil Nadu,Dharmapuri,635116,0,2
09-09-2025,Tamil Nadu,Dharmapuri,635301,4,11
09-09-2025,Tamil Nadu,Dharmapuri,636804,1,6
09-09-2025,Tamil Nadu,Dharmapuri,636807,5,7
09-09-2025,Tamil Nadu,Dharmapuri,636809,6,17
09-09-2025,Tamil Nadu,Dharmapuri,636811,3,16
09-09-2025,Tamil Nadu,Dharmapuri,636902,0,9
09-09-2025,Tamil Nadu,Dharmapuri,636905,2,9
09-09-2025,Tamil Nadu,Dharmapuri,636906,1,12
08-09-2025,Tamil Nadu,Dharmapuri,635202,7,8
08-09-2025,Tamil Nadu,Dharmapuri,636701,9,16
08-09-2025,Tamil Nadu,Dharmapuri,636809,4,24
08-09-2025,Tamil Nadu,Dharmapuri,636810,2,24
08-09-2025,Tamil Nadu,Dharmapuri,636813,3,14
08-09-2025,Tamil Nadu,Dharmapuri,636906,3,19
10-09-2025,Tamil Nadu,Dharmapuri,635123,0,2
10-09-2025,Tamil Nadu,Dharmapuri,635301,1,16
10-09-2025,Tamil Nadu,Dharmapuri,635305,2,13
10-09-2025,Tamil Nadu,Dharmapuri,636704,2,13
10-09-2025,Tamil Nadu,Dharmapuri,636806,4,5
10-09-2025,Tamil Nadu,Dharmapuri,636809,2,24
10-09-2025,Tamil Nadu,Dharmapuri,636810,7,19
10-09-2025,Tamil Nadu,Dharmapuri,636811,2,13
10-09-2025,Tamil Nadu,Dharmapuri,636812,1,4
11-09-2025,Tamil Nadu,Dharmapuri,635302,2,7
11-09-2025,Tamil Nadu,Dharmapuri,635303,2,4
11-09-2025,Tamil Nadu,Dharmapuri,636804,3,6
11-09-2025,Tamil Nadu,Dharmapuri,636811,3,5
11-09-2025,Tamil Nadu,Dharmapuri,636812,1,3
13-09-2025,Tamil Nadu,Dharmapuri,635120,0,1
13-09-2025,Tamil Nadu,Dharmapuri,635123,0,1
13-09-2025,Tamil Nadu,Dharmapuri,636805,2,4
13-09-2025,Tamil Nadu,Dharmapuri,636905,6,5
13-09-2025,Tamil Nadu,Dharmapuri,636906,0,2
12-09-2025,Tamil Nadu,Dharmapuri,635205,6,10
12-09-2025,Tamil Nadu,Dharmapuri,635303,4,12
12-09-2025,Tamil Nadu,Dharmapuri,636352,5,5
12-09-2025,Tamil Nadu,Dharmapuri,636805,2,6
12-09-2025,Tamil Nadu,Dharmapuri,636808,10,32
12-09-2025,Tamil Nadu,Dharmapuri,636904,4,12
12-09-2025,Tamil Nadu,Dharmapuri,636906,4,20
15-09-2025,Tamil Nadu,Dharmapuri,635301,2,9
15-09-2025,Tamil Nadu,Dharmapuri,635304,0,1
15-09-2025,Tamil Nadu,Dharmapuri,635305,5,12
15-09-2025,Tamil Nadu,Dharmapuri,636705,2,6
15-09-2025,Tamil Nadu,Dharmapuri,636805,0,5
15-09-2025,Tamil Nadu,Dharmapuri,636806,1,9
15-09-2025,Tamil Nadu,Dharmapuri,636807,5,11
17-09-2025,Tamil Nadu,Dharmapuri,635302,3,9
17-09-2025,Tamil Nadu,Dharmapuri,635305,3,16
17-09-2025,Tamil Nadu,Dharmapuri,636704,4,18
17-09-2025,Tamil Nadu,Dharmapuri,636803,6,18
17-09-2025,Tamil Nadu,Dharmapuri,636903,5,41
17-09-2025,Tamil Nadu,Dharmapuri,636905,4,11
16-09-2025,Tamil Nadu,Dharmapuri,635106,0,3
16-09-2025,Tamil Nadu,Dharmapuri,636805,2,8
16-09-2025,Tamil Nadu,Dharmapuri,636809,6,20
16-09-2025,Tamil Nadu,Dharmapuri,636810,10,38
16-09-2025,Tamil Nadu,Dharmapuri,636812,2,3
18-09-2025,Tamil Nadu,Dharmapuri,635301,5,5
18-09-2025,Tamil Nadu,Dharmapuri,635305,2,9
18-09-2025,Tamil Nadu,Dharmapuri,636352,1,0
18-09-2025,Tamil Nadu,Dharmapuri,636704,4,15
18-09-2025,Tamil Nadu,Dharmapuri,636705,1,17
18-09-2025,Tamil Nadu,Dharmapuri,636813,5,18
18-09-2025,Tamil Nadu,Dharmapuri,636906,3,12
19-09-2025,Tamil Nadu,Dharmapuri,635106,1,1
19-09-2025,Tamil Nadu,Dharmapuri,635123,0,1
19-09-2025,Tamil Nadu,Dharmapuri,636704,5,27
