date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Tamil Nadu,Dharmapuri,636805,4,0,0
03-09-2025,Tamil Nadu,Dharmapuri,636809,3,0,0
02-09-2025,Tamil Nadu,Dharmapuri,635302,3,1,0
02-09-2025,Tamil Nadu,Dharmapuri,635305,2,1,0
02-09-2025,Tamil Nadu,Dharmapuri,636701,1,0,0
02-09-2025,Tamil Nadu,Dharmapuri,636808,7,1,0
02-09-2025,Tamil Nadu,Dharmapuri,636813,3,0,0
02-09-2025,Tamil Nadu,Dharmapuri,636902,1,0,0
02-09-2025,Tamil Nadu,Dharmapuri,636903,1,0,0
02-09-2025,Tamil Nadu,Dharmapuri,636905,9,1,0
01-09-2025,Tamil Nadu,Dharmapuri,635123,1,0,0
01-09-2025,Tamil Nadu,Dharmapuri,635305,3,0,0
01-09-2025,Tamil Nadu,Dharmapuri,636806,2,1,0
01-09-2025,Tamil Nadu,Dharmapuri,636809,7,1,0
05-09-2025,Tamil Nadu,Dharmapuri,636809,2,0,0
04-09-2025,Tamil Nadu,Dharmapuri,635205,4,4,0
04-09-2025,Tamil Nadu,Dharmapuri,636705,1,0,0
04-09-2025,Tamil Nadu,Dharmapuri,636807,2,0,0
04-09-2025,Tamil Nadu,Dharmapuri,636809,1,0,0
04-09-2025,Tamil Nadu,Dharmapuri,636902,1,0,0
04-09-2025,Tamil Nadu,Dharmapuri,636903,3,0,0
06-09-2025,Tamil Nadu,Dharmapuri,635202,6,0,0
06-09-2025,Tamil Nadu,Dharmapuri,635205,3,1,0
06-09-2025,Tamil Nadu,Dharmapuri,635303,1,0,0
06-09-2025,Tamil Nadu,Dharmapuri,636704,1,0,0
06-09-2025,Tamil Nadu,Dharmapuri,636807,3,1,0
06-09-2025,Tamil Nadu,Dharmapuri,636810,4,0,0
06-09-2025,Tamil Nadu,Dharmapuri,636902,4,1,0
08-09-2025,Tamil Nadu,Dharmapuri,635111,2,0,0
08-09-2025,Tamil Nadu,Dharmapuri,635303,4,0,0
08-09-2025,Tamil Nadu,Dharmapuri,636705,1,0,0
08-09-2025,Tamil Nadu,Dharmapuri,636805,2,0,0
08-09-2025,Tamil Nadu,Dharmapuri,636808,4,0,0
08-09-2025,Tamil Nadu,Dharmapuri,636902,0,1,0
09-09-2025,Tamil Nadu,Dharmapuri,635201,1,0,0
09-09-2025,Tamil Nadu,Dharmapuri,636805,1,0,0
09-09-2025,Tamil Nadu,Dharmapuri,636810,14,4,0
09-09-2025,Tamil Nadu,Dharmapuri,636813,3,0,0
10-09-2025,Tamil Nadu,Dharmapuri,635106,1,0,0
10-09-2025,Tamil Nadu,Dharmapuri,635303,2,0,0
10-09-2025,Tamil Nadu,Dharmapuri,636352,1,0,0
10-09-2025,Tamil Nadu,Dharmapuri,636804,0,1,0
10-09-2025,Tamil Nadu,Dharmapuri,636805,2,0,0
10-09-2025,Tamil Nadu,Dharmapuri,636905,1,0,0
11-09-2025,Tamil Nadu,Dharmapuri,636701,1,0,0
